id_geo___ca,pj,total,t_voluntario,t_necesario,t_consecutivo,c_ordinario,c_especial,c_sin_masa,comunidad_provincia,comunidad_autonoma,año,trimestre
1227,fisica,17.0,8.0,0.0,9.0,17.0,0.0,0.0,lugo,Galicia,2021,2
1232,fisica,10.0,7.0,0.0,3.0,10.0,0.0,0.0,ourense,Galicia,2021,2
1236,fisica,36.0,13.0,0.0,23.0,31.0,0.0,5.0,pontevedra,Galicia,2021,2
1328,fisica,252.0,25.0,1.0,226.0,212.0,2.0,38.0,madrid,Madrid,2021,2
1430,fisica,61.0,21.0,0.0,40.0,55.0,0.0,6.0,murcia,Murcia,2021,2
1531,fisica,14.0,12.0,0.0,2.0,13.0,0.0,1.0,navarra,Navarra,2021,2
1601,fisica,9.0,9.0,0.0,0.0,9.0,0.0,0.0,araba alava,Pais Vasco,2021,2
1648,fisica,23.0,15.0,0.0,8.0,19.0,0.0,4.0,bizkaia,Pais Vasco,2021,2
1620,fisica,12.0,7.0,0.0,5.0,10.0,0.0,2.0,gipuzkoa,Pais Vasco,2021,2
1851,fisica,4.0,1.0,0.0,3.0,3.0,0.0,1.0,ceuta,Ceuta,2021,2
1952,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,melilla,Melilla,2021,2
104,empresas,10.0,10.0,0.0,0.0,1.0,7.0,2.0,almeria,Andalucia,2021,2
111,empresas,11.0,11.0,0.0,0.0,5.0,1.0,5.0,cadiz,Andalucia,2021,2
114,empresas,5.0,4.0,0.0,1.0,1.0,1.0,3.0,cordoba,Andalucia,2021,2
118,empresas,13.0,11.0,2.0,0.0,8.0,2.0,3.0,granada,Andalucia,2021,2
121,empresas,8.0,8.0,0.0,0.0,3.0,0.0,5.0,huelva,Andalucia,2021,2
123,empresas,2.0,2.0,0.0,0.0,1.0,0.0,1.0,jaen,Andalucia,2021,2
129,empresas,22.0,21.0,1.0,0.0,8.0,10.0,4.0,malaga,Andalucia,2021,2
141,empresas,32.0,32.0,0.0,0.0,22.0,1.0,9.0,sevilla,Andalucia,2021,2
943,empresas,38.0,37.0,0.0,1.0,15.0,4.0,19.0,aragon,,2021,2
222,empresas,7.0,7.0,0.0,0.0,5.0,0.0,2.0,huesca,Aragon,2021,2
244,empresas,5.0,4.0,0.0,1.0,3.0,1.0,1.0,teruel,Aragon,2021,2
250,empresas,26.0,26.0,0.0,0.0,7.0,3.0,16.0,zaragoza,Aragon,2021,2
333,empresas,25.0,25.0,0.0,0.0,7.0,2.0,16.0,asturias,Asturias,2021,2
407,empresas,30.0,30.0,0.0,0.0,20.0,1.0,9.0,balears illes,Baleares,2021,2
639,empresas,31.0,31.0,0.0,0.0,18.0,0.0,13.0,canarias,,2021,2
538,empresas,14.0,14.0,0.0,0.0,9.0,0.0,5.0,santa cruz de tenerife,Canarias,2021,2
639,empresas,10.0,10.0,0.0,0.0,2.0,0.0,8.0,cantabria,Cantabria,2021,2
705,empresas,2.0,2.0,0.0,0.0,1.0,0.0,1.0,avila,Castilla y Leon,2021,2
709,empresas,9.0,9.0,0.0,0.0,7.0,0.0,2.0,burgos,Castilla y Leon,2021,2
724,empresas,3.0,2.0,0.0,1.0,2.0,0.0,1.0,leon,Castilla y Leon,2021,2
734,empresas,4.0,4.0,0.0,0.0,4.0,0.0,0.0,palencia,Castilla y Leon,2021,2
737,empresas,4.0,4.0,0.0,0.0,0.0,1.0,3.0,salamanca,Castilla y Leon,2021,2
740,empresas,1.0,1.0,0.0,0.0,0.0,0.0,1.0,segovia,Castilla y Leon,2021,2
742,empresas,2.0,2.0,0.0,0.0,2.0,0.0,0.0,soria,Castilla y Leon,2021,2
747,empresas,10.0,10.0,0.0,0.0,2.0,2.0,6.0,valladolid,Castilla y Leon,2021,2
749,empresas,4.0,4.0,0.0,0.0,1.0,0.0,3.0,zamora,Castilla y Leon,2021,2
802,empresas,8.0,8.0,0.0,0.0,2.0,0.0,6.0,albacete,Castilla La Mancha,2021,2
813,empresas,4.0,3.0,1.0,0.0,1.0,0.0,3.0,ciudad real,Castilla La Mancha,2021,2
816,empresas,3.0,3.0,0.0,0.0,1.0,0.0,2.0,cuenca,Castilla La Mancha,2021,2
819,empresas,4.0,4.0,0.0,0.0,1.0,0.0,3.0,guadalajara,Castilla La Mancha,2021,2
845,empresas,12.0,10.0,0.0,2.0,7.0,1.0,4.0,toledo,Castilla La Mancha,2021,2
908,empresas,274.0,267.0,4.0,3.0,88.0,4.0,182.0,barcelona,Cataluña,2021,2
917,empresas,22.0,22.0,0.0,0.0,12.0,3.0,7.0,girona,Cataluña,2021,2
925,empresas,9.0,9.0,0.0,0.0,5.0,0.0,4.0,lleida,Cataluña,2021,2
943,empresas,26.0,25.0,1.0,0.0,15.0,0.0,11.0,tarragona,Cataluña,2021,2
734,empresas,111.0,108.0,1.0,2.0,22.0,10.0,79.0,valencia,Valencia,2021,2
1106,empresas,9.0,9.0,0.0,0.0,7.0,0.0,2.0,badajoz,Extremadura,2021,2
1110,empresas,4.0,4.0,0.0,0.0,2.0,0.0,2.0,caceres,Extremadura,2021,2
1227,empresas,6.0,6.0,0.0,0.0,6.0,0.0,0.0,lugo,Galicia,2021,2
1232,empresas,4.0,4.0,0.0,0.0,3.0,0.0,1.0,ourense,Galicia,2021,2
1236,empresas,21.0,19.0,2.0,0.0,17.0,0.0,4.0,pontevedra,Galicia,2021,2
1328,empresas,345.0,344.0,1.0,0.0,54.0,13.0,278.0,madrid,Madrid,2021,2
1430,empresas,25.0,21.0,2.0,2.0,18.0,0.0,7.0,murcia,Murcia,2021,2
1531,empresas,7.0,7.0,0.0,0.0,4.0,0.0,3.0,navarra,Navarra,2021,2
1601,empresas,10.0,10.0,0.0,0.0,3.0,0.0,7.0,araba alava,Pais Vasco,2021,2
1648,empresas,32.0,31.0,0.0,1.0,17.0,3.0,12.0,bizkaia,Pais Vasco,2021,2
1620,empresas,24.0,24.0,0.0,0.0,8.0,0.0,16.0,gipuzkoa,Pais Vasco,2021,2
104,fisica,19.0,2.0,0.0,17.0,17.0,0.0,2.0,almeria,Andalucia,2021,3
111,fisica,23.0,2.0,0.0,21.0,21.0,0.0,2.0,cadiz,Andalucia,2021,3
114,fisica,9.0,0.0,0.0,9.0,7.0,0.0,2.0,cordoba,Andalucia,2021,3
118,fisica,21.0,2.0,0.0,19.0,19.0,0.0,2.0,granada,Andalucia,2021,3
121,fisica,2.0,0.0,0.0,2.0,2.0,0.0,0.0,huelva,Andalucia,2021,3
123,fisica,7.0,0.0,0.0,7.0,5.0,0.0,2.0,jaen,Andalucia,2021,3
129,fisica,22.0,8.0,0.0,14.0,20.0,0.0,2.0,malaga,Andalucia,2021,3
141,fisica,51.0,6.0,0.0,45.0,47.0,0.0,4.0,sevilla,Andalucia,2021,3
943,fisica,68.0,13.0,0.0,55.0,45.0,0.0,23.0,aragon,,2021,3
222,fisica,9.0,4.0,0.0,5.0,8.0,0.0,1.0,huesca,Aragon,2021,3
244,fisica,6.0,0.0,0.0,6.0,4.0,0.0,2.0,teruel,Aragon,2021,3
250,fisica,53.0,9.0,0.0,44.0,33.0,0.0,20.0,zaragoza,Aragon,2021,3
333,fisica,42.0,19.0,0.0,23.0,18.0,0.0,24.0,asturias,Asturias,2021,3
407,fisica,31.0,16.0,0.0,15.0,28.0,0.0,3.0,balears illes,Baleares,2021,3
639,fisica,71.0,12.0,0.0,59.0,55.0,1.0,15.0,canarias,,2021,3
538,fisica,23.0,7.0,0.0,16.0,23.0,0.0,0.0,santa cruz de tenerife,Canarias,2021,3
639,fisica,13.0,8.0,0.0,5.0,13.0,0.0,0.0,cantabria,Cantabria,2021,3
705,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,avila,Castilla y Leon,2021,3
709,fisica,6.0,2.0,0.0,4.0,6.0,0.0,0.0,burgos,Castilla y Leon,2021,3
724,fisica,15.0,9.0,0.0,6.0,14.0,0.0,1.0,leon,Castilla y Leon,2021,3
734,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,palencia,Castilla y Leon,2021,3
737,fisica,10.0,4.0,0.0,6.0,2.0,0.0,8.0,salamanca,Castilla y Leon,2021,3
740,fisica,3.0,1.0,0.0,2.0,3.0,0.0,0.0,segovia,Castilla y Leon,2021,3
742,fisica,1.0,0.0,0.0,1.0,1.0,0.0,0.0,soria,Castilla y Leon,2021,3
747,fisica,16.0,5.0,0.0,11.0,12.0,0.0,4.0,valladolid,Castilla y Leon,2021,3
749,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zamora,Castilla y Leon,2021,3
802,fisica,7.0,0.0,1.0,6.0,2.0,0.0,5.0,albacete,Castilla La Mancha,2021,3
813,fisica,1.0,1.0,0.0,0.0,0.0,0.0,1.0,ciudad real,Castilla La Mancha,2021,3
816,fisica,1.0,0.0,0.0,1.0,0.0,0.0,1.0,cuenca,Castilla La Mancha,2021,3
819,fisica,13.0,1.0,0.0,12.0,7.0,0.0,6.0,guadalajara,Castilla La Mancha,2021,3
845,fisica,9.0,5.0,0.0,4.0,5.0,0.0,4.0,toledo,Castilla La Mancha,2021,3
908,fisica,451.0,22.0,0.0,429.0,423.0,3.0,25.0,barcelona,Cataluña,2021,3
917,fisica,49.0,6.0,0.0,43.0,47.0,0.0,2.0,girona,Cataluña,2021,3
925,fisica,37.0,2.0,0.0,35.0,37.0,0.0,0.0,lleida,Cataluña,2021,3
943,fisica,41.0,2.0,0.0,39.0,37.0,1.0,3.0,tarragona,Cataluña,2021,3
734,fisica,116.0,36.0,0.0,80.0,112.0,0.0,4.0,valencia,Valencia,2021,3
1106,fisica,7.0,4.0,0.0,3.0,7.0,0.0,0.0,badajoz,Extremadura,2021,3
1110,fisica,4.0,0.0,0.0,4.0,4.0,0.0,0.0,caceres,Extremadura,2021,3
1227,fisica,5.0,3.0,0.0,2.0,5.0,0.0,0.0,lugo,Galicia,2021,3
1232,fisica,5.0,4.0,1.0,0.0,4.0,0.0,1.0,ourense,Galicia,2021,3
1236,fisica,20.0,6.0,0.0,14.0,17.0,0.0,3.0,pontevedra,Galicia,2021,3
1328,fisica,176.0,20.0,1.0,155.0,153.0,1.0,22.0,madrid,Madrid,2021,3
1430,fisica,47.0,20.0,1.0,26.0,43.0,0.0,4.0,murcia,Murcia,2021,3
1531,fisica,16.0,6.0,0.0,10.0,10.0,0.0,6.0,navarra,Navarra,2021,3
1601,fisica,8.0,6.0,0.0,2.0,8.0,0.0,0.0,araba alava,Pais Vasco,2021,3
1648,fisica,20.0,15.0,0.0,5.0,16.0,0.0,4.0,bizkaia,Pais Vasco,2021,3
1620,fisica,5.0,4.0,0.0,1.0,1.0,0.0,4.0,gipuzkoa,Pais Vasco,2021,3
1851,fisica,1.0,1.0,0.0,0.0,0.0,0.0,1.0,ceuta,Ceuta,2021,3
1952,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,melilla,Melilla,2021,3
104,empresas,10.0,10.0,0.0,0.0,0.0,2.0,8.0,almeria,Andalucia,2021,3
111,empresas,6.0,6.0,0.0,0.0,3.0,0.0,3.0,cadiz,Andalucia,2021,3
114,empresas,6.0,6.0,0.0,0.0,0.0,2.0,4.0,cordoba,Andalucia,2021,3
118,empresas,5.0,4.0,0.0,1.0,5.0,0.0,0.0,granada,Andalucia,2021,3
121,empresas,4.0,4.0,0.0,0.0,1.0,0.0,3.0,huelva,Andalucia,2021,3
123,empresas,3.0,3.0,0.0,0.0,1.0,0.0,2.0,jaen,Andalucia,2021,3
129,empresas,19.0,19.0,0.0,0.0,8.0,8.0,3.0,malaga,Andalucia,2021,3
141,empresas,22.0,22.0,0.0,0.0,17.0,0.0,5.0,sevilla,Andalucia,2021,3
943,empresas,28.0,27.0,0.0,1.0,13.0,1.0,14.0,aragon,,2021,3
222,empresas,1.0,1.0,0.0,0.0,1.0,0.0,0.0,huesca,Aragon,2021,3
244,empresas,1.0,0.0,0.0,1.0,1.0,0.0,0.0,teruel,Aragon,2021,3
250,empresas,26.0,26.0,0.0,0.0,11.0,1.0,14.0,zaragoza,Aragon,2021,3
333,empresas,10.0,10.0,0.0,0.0,4.0,1.0,5.0,asturias,Asturias,2021,3
407,empresas,21.0,21.0,0.0,0.0,11.0,3.0,7.0,balears illes,Baleares,2021,3
639,empresas,29.0,28.0,1.0,0.0,14.0,4.0,11.0,canarias,,2021,3
538,empresas,9.0,9.0,0.0,0.0,4.0,0.0,5.0,santa cruz de tenerife,Canarias,2021,3
639,empresas,4.0,4.0,0.0,0.0,1.0,0.0,3.0,cantabria,Cantabria,2021,3
705,empresas,1.0,1.0,0.0,0.0,0.0,0.0,1.0,avila,Castilla y Leon,2021,3
709,empresas,3.0,3.0,0.0,0.0,3.0,0.0,0.0,burgos,Castilla y Leon,2021,3
724,empresas,4.0,4.0,0.0,0.0,2.0,0.0,2.0,leon,Castilla y Leon,2021,3
734,empresas,3.0,3.0,0.0,0.0,2.0,0.0,1.0,palencia,Castilla y Leon,2021,3
737,empresas,6.0,6.0,0.0,0.0,2.0,3.0,1.0,salamanca,Castilla y Leon,2021,3
740,empresas,1.0,1.0,0.0,0.0,0.0,0.0,1.0,segovia,Castilla y Leon,2021,3
742,empresas,1.0,1.0,0.0,0.0,1.0,0.0,0.0,soria,Castilla y Leon,2021,3
747,empresas,15.0,15.0,0.0,0.0,5.0,0.0,10.0,valladolid,Castilla y Leon,2021,3
749,empresas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zamora,Castilla y Leon,2021,3
802,empresas,6.0,6.0,0.0,0.0,2.0,0.0,4.0,albacete,Castilla La Mancha,2021,3
813,empresas,7.0,7.0,0.0,0.0,1.0,0.0,6.0,ciudad real,Castilla La Mancha,2021,3
816,empresas,6.0,6.0,0.0,0.0,2.0,0.0,4.0,cuenca,Castilla La Mancha,2021,3
819,empresas,4.0,4.0,0.0,0.0,0.0,0.0,4.0,guadalajara,Castilla La Mancha,2021,3
845,empresas,14.0,13.0,0.0,1.0,6.0,1.0,7.0,toledo,Castilla La Mancha,2021,3
908,empresas,198.0,194.0,1.0,3.0,51.0,2.0,144.0,barcelona,Cataluña,2021,3
917,empresas,17.0,17.0,0.0,0.0,8.0,1.0,8.0,girona,Cataluña,2021,3
