sexo,comunidad_autonoma,edad,periodo,tasa_paro,año,trimestre
Todos,Andalucia,25 y más años,2024T4,14.27,2024,4
Todos,Andalucia,25 y más años,2024T3,14.43,2024,3
Todos,Andalucia,25 y más años,2024T2,14.47,2024,2
Todos,Andalucia,25 y más años,2024T1,16.44,2024,1
Todos,Andalucia,25 y más años,2023T4,15.92,2023,4
Todos,Andalucia,25 y más años,2023T3,16.85,2023,3
Todos,Andalucia,25 y más años,2023T2,16.53,2023,2
Todos,Andalucia,25 y más años,2023T1,17.05,2023,1
Todos,Andalucia,25 y más años,2022T4,17.85,2022,4
Todos,Andalucia,25 y más años,2022T3,17.79,2022,3
Todos,Andalucia,25 y más años,2022T2,17.68,2022,2
Todos,Andalucia,25 y más años,2022T1,18.42,2022,1
Todos,Andalucia,25 y más años,2021T4,19.01,2021,4
Todos,Andalucia,25 y más años,2021T3,21.09,2021,3
Todos,Andalucia,25 y más años,2021T2,19.92,2021,2
Todos,Andalucia,25 y más años,2021T1,20.95,2021,1
Todos,Andalucia,De 16 a 19 años,2025T2,52.4,2025,2
Todos,Andalucia,De 16 a 19 años,2025T1,43.95,2025,1
Todos,Andalucia,De 16 a 19 años,2024T4,52.19,2024,4
Todos,Andalucia,De 16 a 19 años,2024T3,39.92,2024,3
Todos,Andalucia,De 16 a 19 años,2024T2,50.22,2024,2
Todos,Andalucia,De 16 a 19 años,2024T1,49.26,2024,1
Todos,Andalucia,De 16 a 19 años,2023T4,56.47,2023,4
Todos,Andalucia,De 16 a 19 años,2023T3,57.21,2023,3
Todos,Andalucia,De 16 a 19 años,2023T2,60.11,2023,2
Todos,Andalucia,De 16 a 19 años,2023T1,60.32,2023,1
Todos,Andalucia,De 16 a 19 años,2022T4,47.56,2022,4
Todos,Andalucia,De 16 a 19 años,2022T3,51.57,2022,3
Todos,Andalucia,De 16 a 19 años,2022T2,56.13,2022,2
Todos,Andalucia,De 16 a 19 años,2022T1,52.5,2022,1
Todos,Andalucia,De 16 a 19 años,2021T4,62.24,2021,4
Todos,Andalucia,De 16 a 19 años,2021T3,54.29,2021,3
Todos,Andalucia,De 16 a 19 años,2021T2,63.21,2021,2
Todos,Andalucia,De 16 a 19 años,2021T1,59.14,2021,1
Todos,Andalucia,De 20 a 24 años,2025T2,30.31,2025,2
Todos,Andalucia,De 20 a 24 años,2025T1,32.67,2025,1
Todos,Andalucia,De 20 a 24 años,2024T4,32.25,2024,4
Todos,Andalucia,De 20 a 24 años,2024T3,34.47,2024,3
Todos,Andalucia,De 20 a 24 años,2024T2,35.31,2024,2
Todos,Andalucia,De 20 a 24 años,2024T1,34.19,2024,1
Todos,Andalucia,De 20 a 24 años,2023T4,36.8,2023,4
Todos,Andalucia,De 20 a 24 años,2023T3,37.14,2023,3
Todos,Andalucia,De 20 a 24 años,2023T2,34.54,2023,2
Todos,Andalucia,De 20 a 24 años,2023T1,33.49,2023,1
Todos,Andalucia,De 20 a 24 años,2022T4,33.19,2022,4
Todos,Andalucia,De 20 a 24 años,2022T3,32.86,2022,3
Todos,Andalucia,De 20 a 24 años,2022T2,28.66,2022,2
Todos,Andalucia,De 20 a 24 años,2022T1,32.96,2022,1
Todos,Andalucia,De 20 a 24 años,2021T4,34.33,2021,4
Todos,Andalucia,De 20 a 24 años,2021T3,38.47,2021,3
Todos,Andalucia,De 20 a 24 años,2021T2,43.6,2021,2
Todos,Andalucia,De 20 a 24 años,2021T1,49.81,2021,1
Todos,Andalucia,25a54,2025T2,13.27,2025,2
Todos,Andalucia,25a54,2025T1,15.06,2025,1
Todos,Andalucia,25a54,2024T4,14.27,2024,4
Todos,Andalucia,25a54,2024T3,14.48,2024,3
Todos,Andalucia,25a54,2024T2,14.35,2024,2
Todos,Andalucia,25a54,2024T1,16.57,2024,1
Todos,Andalucia,25a54,2023T4,15.97,2023,4
Todos,Andalucia,25a54,2023T3,16.46,2023,3
Todos,Andalucia,25a54,2023T2,15.89,2023,2
Todos,Andalucia,25a54,2023T1,17.06,2023,1
Todos,Andalucia,25a54,2022T4,17.99,2022,4
Todos,Andalucia,25a54,2022T3,17.66,2022,3
Todos,Andalucia,25a54,2022T2,17.36,2022,2
Todos,Andalucia,25a54,2022T1,18.31,2022,1
Todos,Andalucia,25a54,2021T4,18.81,2021,4
Todos,Andalucia,25a54,2021T3,20.75,2021,3
Todos,Andalucia,25a54,2021T2,20.3,2021,2
Todos,Andalucia,25a54,2021T1,21.47,2021,1
Todos,Andalucia,De 55 y más años,2025T2,14.02,2025,2
Todos,Andalucia,De 55 y más años,2025T1,14.3,2025,1
Todos,Andalucia,De 55 y más años,2024T4,14.25,2024,4
Todos,Andalucia,De 55 y más años,2024T3,14.22,2024,3
Todos,Andalucia,De 55 y más años,2024T2,14.94,2024,2
Todos,Andalucia,De 55 y más años,2024T1,15.95,2024,1
Todos,Andalucia,De 55 y más años,2023T4,15.76,2023,4
Todos,Andalucia,De 55 y más años,2023T3,18.31,2023,3
Todos,Andalucia,De 55 y más años,2023T2,19.0,2023,2
Todos,Andalucia,De 55 y más años,2023T1,17.0,2023,1
Todos,Andalucia,De 55 y más años,2022T4,17.29,2022,4
Todos,Andalucia,De 55 y más años,2022T3,18.34,2022,3
Todos,Andalucia,De 55 y más años,2022T2,18.99,2022,2
Todos,Andalucia,De 55 y más años,2022T1,18.92,2022,1
Todos,Andalucia,De 55 y más años,2021T4,19.83,2021,4
Todos,Andalucia,De 55 y más años,2021T3,22.49,2021,3
Todos,Andalucia,De 55 y más años,2021T2,18.27,2021,2
Todos,Andalucia,De 55 y más años,2021T1,18.7,2021,1
Todos,Aragon,Todos,2025T2,7.64,2025,2
Todos,Aragon,Todos,2025T1,8.29,2025,1
Todos,Aragon,Todos,2024T4,7.62,2024,4
Todos,Aragon,Todos,2024T3,8.66,2024,3
Todos,Aragon,Todos,2024T2,8.25,2024,2
Todos,Aragon,Todos,2024T1,8.04,2024,1
Todos,Aragon,Todos,2023T4,8.17,2023,4
Todos,Aragon,Todos,2023T3,8.0,2023,3
Todos,Aragon,Todos,2023T2,8.79,2023,2
Todos,Aragon,Todos,2023T1,9.34,2023,1
Todos,Aragon,Todos,2022T4,9.57,2022,4
Todos,Aragon,Todos,2022T3,9.39,2022,3
Todos,Aragon,Todos,2022T2,9.28,2022,2
Todos,Aragon,Todos,2022T1,10.24,2022,1
Todos,Aragon,Todos,2021T4,9.18,2021,4
Todos,Aragon,Todos,2021T3,8.94,2021,3
Todos,Aragon,Todos,2021T2,10.87,2021,2
Todos,Aragon,Todos,2021T1,12.36,2021,1
Todos,Aragon,Menores25,2025T2,23.33,2025,2
Todos,Aragon,Menores25,2025T1,24.99,2025,1
Todos,Aragon,Menores25,2024T4,18.8,2024,4
Todos,Aragon,Menores25,2024T3,24.74,2024,3
Todos,Aragon,Menores25,2024T2,22.59,2024,2
Todos,Aragon,Menores25,2024T1,27.29,2024,1
Todos,Aragon,Menores25,2023T4,21.44,2023,4
Todos,Aragon,Menores25,2023T3,21.43,2023,3
Todos,Aragon,Menores25,2023T2,26.08,2023,2
Todos,Aragon,Menores25,2023T1,19.89,2023,1
Todos,Aragon,Menores25,2022T4,20.57,2022,4
Todos,Aragon,Menores25,2022T3,28.46,2022,3
Todos,Aragon,Menores25,2022T2,29.39,2022,2
Todos,Aragon,Menores25,2022T1,19.36,2022,1
Todos,Aragon,Menores25,2021T4,20.62,2021,4
Todos,Aragon,Menores25,2021T3,24.44,2021,3
Todos,Aragon,Menores25,2021T2,21.51,2021,2
Todos,Aragon,Menores25,2021T1,34.85,2021,1
Todos,Aragon,25 y más años,2025T2,6.38,2025,2
Todos,Aragon,25 y más años,2025T1,6.97,2025,1
Todos,Aragon,25 y más años,2024T4,6.74,2024,4
Todos,Aragon,25 y más años,2024T3,7.29,2024,3
Todos,Aragon,25 y más años,2024T2,7.14,2024,2
Todos,Aragon,25 y más años,2024T1,6.51,2024,1
Todos,Aragon,25 y más años,2023T4,7.22,2023,4
Todos,Aragon,25 y más años,2023T3,6.99,2023,3
Todos,Aragon,25 y más años,2023T2,7.59,2023,2
Todos,Aragon,25 y más años,2023T1,8.68,2023,1
Todos,Aragon,25 y más años,2022T4,8.85,2022,4
Todos,Aragon,25 y más años,2022T3,7.93,2022,3
Todos,Aragon,25 y más años,2022T2,7.81,2022,2
Todos,Aragon,25 y más años,2022T1,9.58,2022,1
Todos,Aragon,25 y más años,2021T4,8.38,2021,4
Todos,Aragon,25 y más años,2021T3,7.83,2021,3
Todos,Aragon,25 y más años,2021T2,10.16,2021,2
Todos,Aragon,25 y más años,2021T1,10.86,2021,1
Todos,Aragon,De 16 a 19 años,2025T2,39.81,2025,2
