id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
123,Jaén,16.0,1.0,0.0,0.0,15.0,2022,1
129,Málaga,57.0,23.0,1.0,1.0,32.0,2022,1
141,Sevilla,135.0,33.0,2.0,1.0,99.0,2022,1
943,Aragón,145.0,46.0,2.0,0.0,97.0,2022,1
222,Huesca,19.0,3.0,1.0,0.0,15.0,2022,1
244,Teruel,5.0,3.0,0.0,0.0,2.0,2022,1
250,Zaragoza,121.0,40.0,1.0,0.0,80.0,2022,1
333,Asturias,90.0,22.0,1.0,0.0,67.0,2022,1
407,"Balears, Illes",83.0,31.0,3.0,0.0,49.0,2022,1
639,Canarias,107.0,27.0,1.0,0.0,79.0,2022,1
538,Santa Cruz de Tenerife,51.0,11.0,0.0,0.0,40.0,2022,1
639,Cantabria,36.0,20.0,0.0,0.0,16.0,2022,1
705,Ávila,7.0,1.0,0.0,0.0,6.0,2022,1
709,Burgos,13.0,5.0,0.0,1.0,7.0,2022,1
724,León,13.0,2.0,0.0,0.0,11.0,2022,1
734,Palencia,1.0,1.0,0.0,0.0,0.0,2022,1
737,Salamanca,13.0,2.0,0.0,0.0,11.0,2022,1
740,Segovia,4.0,2.0,0.0,0.0,2.0,2022,1
742,Soria,3.0,1.0,0.0,1.0,1.0,2022,1
747,Valladolid,26.0,5.0,0.0,1.0,20.0,2022,1
749,Zamora,0.0,0.0,0.0,0.0,0.0,2022,1
802,Albacete,24.0,8.0,1.0,1.0,14.0,2022,1
813,Ciudad Real,9.0,4.0,0.0,1.0,4.0,2022,1
816,Cuenca,8.0,4.0,2.0,0.0,2.0,2022,1
819,Guadalajara,16.0,3.0,0.0,0.0,13.0,2022,1
845,Toledo,25.0,12.0,1.0,0.0,12.0,2022,1
908,Barcelona,916.0,257.0,13.0,5.0,641.0,2022,1
917,Girona,84.0,25.0,0.0,0.0,59.0,2022,1
925,Lleida,79.0,12.0,2.0,1.0,64.0,2022,1
943,Tarragona,66.0,5.0,0.0,0.0,61.0,2022,1
734,Valencia,292.0,116.0,1.0,3.0,172.0,2022,1
1106,Badajoz,9.0,4.0,0.0,0.0,5.0,2022,1
1110,Cáceres,5.0,2.0,1.0,0.0,2.0,2022,1
1227,Lugo,29.0,11.0,0.0,0.0,18.0,2022,1
1232,Ourense,15.0,6.0,0.0,0.0,9.0,2022,1
1236,Pontevedra,45.0,15.0,1.0,0.0,29.0,2022,1
1328,Madrid,644.0,293.0,26.0,6.0,319.0,2022,1
1430,Murcia,104.0,31.0,5.0,2.0,66.0,2022,1
1531,Navarra,31.0,6.0,1.0,0.0,24.0,2022,1
1601,Araba/Álava,18.0,10.0,1.0,0.0,7.0,2022,1
1648,Bizkaia,70.0,38.0,2.0,1.0,29.0,2022,1
1620,Gipuzkoa,30.0,13.0,0.0,1.0,16.0,2022,1
1851,Ceuta,1.0,0.0,0.0,0.0,1.0,2022,1
1952,Melilla,1.0,1.0,0.0,0.0,0.0,2022,1
104,Almería,27.0,14.0,0.0,0.0,13.0,2022,2
111,Cádiz,23.0,5.0,0.0,0.0,18.0,2022,2
114,Córdoba,23.0,8.0,0.0,0.0,15.0,2022,2
118,Granada,40.0,16.0,2.0,1.0,21.0,2022,2
121,Huelva,13.0,8.0,0.0,0.0,5.0,2022,2
123,Jaén,27.0,3.0,0.0,1.0,23.0,2022,2
129,Málaga,60.0,23.0,0.0,0.0,37.0,2022,2
141,Sevilla,105.0,20.0,2.0,1.0,82.0,2022,2
943,Aragón,153.0,34.0,1.0,1.0,117.0,2022,2
222,Huesca,19.0,4.0,0.0,0.0,15.0,2022,2
244,Teruel,14.0,4.0,0.0,0.0,10.0,2022,2
250,Zaragoza,120.0,26.0,1.0,1.0,92.0,2022,2
333,Asturias,96.0,21.0,2.0,1.0,72.0,2022,2
407,"Balears, Illes",63.0,22.0,0.0,1.0,40.0,2022,2
639,Canarias,119.0,36.0,1.0,0.0,82.0,2022,2
538,Santa Cruz de Tenerife,49.0,15.0,0.0,0.0,34.0,2022,2
639,Cantabria,23.0,6.0,1.0,1.0,15.0,2022,2
705,Ávila,2.0,0.0,1.0,0.0,1.0,2022,2
709,Burgos,8.0,4.0,0.0,0.0,4.0,2022,2
724,León,22.0,5.0,0.0,0.0,17.0,2022,2
734,Palencia,1.0,1.0,0.0,0.0,0.0,2022,2
737,Salamanca,15.0,3.0,0.0,0.0,12.0,2022,2
740,Segovia,12.0,1.0,0.0,0.0,11.0,2022,2
742,Soria,10.0,3.0,0.0,0.0,7.0,2022,2
747,Valladolid,37.0,4.0,1.0,0.0,32.0,2022,2
749,Zamora,4.0,1.0,1.0,0.0,2.0,2022,2
802,Albacete,23.0,7.0,0.0,0.0,16.0,2022,2
813,Ciudad Real,14.0,9.0,0.0,0.0,5.0,2022,2
816,Cuenca,5.0,1.0,0.0,0.0,4.0,2022,2
819,Guadalajara,42.0,2.0,0.0,0.0,40.0,2022,2
845,Toledo,27.0,8.0,2.0,0.0,17.0,2022,2
908,Barcelona,980.0,273.0,11.0,2.0,694.0,2022,2
917,Girona,83.0,10.0,1.0,0.0,72.0,2022,2
925,Lleida,57.0,8.0,0.0,0.0,49.0,2022,2
943,Tarragona,65.0,17.0,2.0,0.0,46.0,2022,2
734,Valencia,303.0,143.0,7.0,9.0,144.0,2022,2
1106,Badajoz,8.0,4.0,0.0,0.0,4.0,2022,2
1110,Cáceres,6.0,4.0,0.0,0.0,2.0,2022,2
1227,Lugo,38.0,14.0,0.0,0.0,24.0,2022,2
1232,Ourense,11.0,5.0,1.0,0.0,5.0,2022,2
1236,Pontevedra,51.0,9.0,1.0,1.0,40.0,2022,2
1328,Madrid,508.0,241.0,14.0,4.0,249.0,2022,2
