id_geo___ca,comunidad_provincia,total,a_hasta_4,a_entre_5_y_8,a_entre_9_y_12,a_entre_13_y_16,a_entre_17_y_19,a_20_o_mas,año,trimestre
1531,Navarra,6.0,0.0,1.0,0.0,1.0,0.0,4.0,2021,1
1601,Araba/Álava,7.0,2.0,1.0,0.0,0.0,2.0,2.0,2021,1
1648,Bizkaia,64.0,12.0,17.0,7.0,6.0,3.0,19.0,2021,1
1620,Gipuzkoa,24.0,3.0,5.0,0.0,3.0,2.0,11.0,2021,1
1851,Ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,1
1952,Melilla,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,1
104,Almería,10.0,3.0,2.0,3.0,0.0,1.0,1.0,2021,2
111,Cádiz,11.0,4.0,2.0,1.0,2.0,0.0,2.0,2021,2
114,Córdoba,5.0,0.0,3.0,0.0,0.0,1.0,1.0,2021,2
118,Granada,13.0,2.0,4.0,2.0,1.0,2.0,2.0,2021,2
121,Huelva,8.0,2.0,3.0,1.0,1.0,1.0,0.0,2021,2
123,Jaén,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2021,2
129,Málaga,22.0,2.0,6.0,4.0,2.0,2.0,6.0,2021,2
141,Sevilla,32.0,7.0,8.0,6.0,5.0,1.0,5.0,2021,2
943,Aragón,38.0,5.0,9.0,9.0,2.0,3.0,10.0,2021,2
222,Huesca,7.0,1.0,1.0,4.0,0.0,0.0,1.0,2021,2
244,Teruel,5.0,2.0,1.0,0.0,0.0,0.0,2.0,2021,2
250,Zaragoza,26.0,2.0,7.0,5.0,2.0,3.0,7.0,2021,2
333,Asturias,25.0,1.0,12.0,4.0,0.0,1.0,7.0,2021,2
407,"Balears, Illes",30.0,6.0,11.0,3.0,3.0,0.0,7.0,2021,2
639,Canarias,31.0,3.0,9.0,7.0,7.0,0.0,5.0,2021,2
538,Santa Cruz de Tenerife,14.0,2.0,2.0,5.0,2.0,0.0,3.0,2021,2
639,Cantabria,10.0,2.0,2.0,0.0,2.0,0.0,4.0,2021,2
705,Ávila,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2021,2
709,Burgos,9.0,1.0,0.0,1.0,0.0,4.0,3.0,2021,2
724,León,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2021,2
734,Palencia,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2021,2
737,Salamanca,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2021,2
740,Segovia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021,2
742,Soria,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2021,2
747,Valladolid,10.0,0.0,1.0,1.0,4.0,1.0,3.0,2021,2
749,Zamora,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2021,2
802,Albacete,8.0,1.0,1.0,1.0,1.0,1.0,3.0,2021,2
