Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
09 Cataluña;Altas;Bajas;2022T2;""
09 Cataluña;Altas;Bajas;2022T1;""
09 Cataluña;Altas;Bajas;2021T4;""
09 Cataluña;Altas;Bajas;2021T3;""
09 Cataluña;Altas;Bajas;2021T2;""
09 Cataluña;Altas;Bajas;2021T1;""
09 Cataluña;Altas;Bajas;2020T4;""
09 Cataluña;Altas;Bajas;2020T3;""
09 Cataluña;Altas;Bajas;2020T2;""
09 Cataluña;Altas;Bajas;2020T1;""
09 Cataluña;Permanencias;No detectadas;2022T4;""
09 Cataluña;Permanencias;No detectadas;2022T3;""
09 Cataluña;Permanencias;No detectadas;2022T2;""
09 Cataluña;Permanencias;No detectadas;2022T1;""
09 Cataluña;Permanencias;No detectadas;2021T4;""
09 Cataluña;Permanencias;No detectadas;2021T3;""
09 Cataluña;Permanencias;No detectadas;2021T2;""
09 Cataluña;Permanencias;No detectadas;2021T1;""
09 Cataluña;Permanencias;No detectadas;2020T4;""
09 Cataluña;Permanencias;No detectadas;2020T3;""
09 Cataluña;Permanencias;No detectadas;2020T2;""
09 Cataluña;Permanencias;No detectadas;2020T1;""
09 Cataluña;Permanencias;Altas;2022T4;13.725
09 Cataluña;Permanencias;Altas;2022T3;17.757
09 Cataluña;Permanencias;Altas;2022T2;17.771
09 Cataluña;Permanencias;Altas;2022T1;17.229
09 Cataluña;Permanencias;Altas;2021T4;14.278
09 Cataluña;Permanencias;Altas;2021T3;18.421
09 Cataluña;Permanencias;Altas;2021T2;17.778
09 Cataluña;Permanencias;Altas;2021T1;16.944
09 Cataluña;Permanencias;Altas;2020T4;15.097
09 Cataluña;Permanencias;Altas;2020T3;8.324
09 Cataluña;Permanencias;Altas;2020T2;22.257
09 Cataluña;Permanencias;Altas;2020T1;""
09 Cataluña;Permanencias;Permanencias;2022T4;493.264
09 Cataluña;Permanencias;Permanencias;2022T3;496.062
09 Cataluña;Permanencias;Permanencias;2022T2;493.138
09 Cataluña;Permanencias;Permanencias;2022T1;492.563
09 Cataluña;Permanencias;Permanencias;2021T4;494.708
09 Cataluña;Permanencias;Permanencias;2021T3;494.583
09 Cataluña;Permanencias;Permanencias;2021T2;490.757
09 Cataluña;Permanencias;Permanencias;2021T1;487.848
09 Cataluña;Permanencias;Permanencias;2020T4;484.364
09 Cataluña;Permanencias;Permanencias;2020T3;489.097
09 Cataluña;Permanencias;Permanencias;2020T2;482.682
09 Cataluña;Permanencias;Permanencias;2020T1;""
09 Cataluña;Permanencias;Reactivaciones;2022T4;1.094
09 Cataluña;Permanencias;Reactivaciones;2022T3;938
09 Cataluña;Permanencias;Reactivaciones;2022T2;1.217
09 Cataluña;Permanencias;Reactivaciones;2022T1;979
09 Cataluña;Permanencias;Reactivaciones;2021T4;817
09 Cataluña;Permanencias;Reactivaciones;2021T3;682
09 Cataluña;Permanencias;Reactivaciones;2021T2;1.169
09 Cataluña;Permanencias;Reactivaciones;2021T1;944
09 Cataluña;Permanencias;Reactivaciones;2020T4;815
09 Cataluña;Permanencias;Reactivaciones;2020T3;3.678
09 Cataluña;Permanencias;Reactivaciones;2020T2;""
09 Cataluña;Permanencias;Reactivaciones;2020T1;""
09 Cataluña;Permanencias;Bajas;2022T4;""
09 Cataluña;Permanencias;Bajas;2022T3;""
09 Cataluña;Permanencias;Bajas;2022T2;""
09 Cataluña;Permanencias;Bajas;2022T1;""
09 Cataluña;Permanencias;Bajas;2021T4;""
09 Cataluña;Permanencias;Bajas;2021T3;""
09 Cataluña;Permanencias;Bajas;2021T2;""
09 Cataluña;Permanencias;Bajas;2021T1;""
09 Cataluña;Permanencias;Bajas;2020T4;""
09 Cataluña;Permanencias;Bajas;2020T3;""
09 Cataluña;Permanencias;Bajas;2020T2;""
09 Cataluña;Permanencias;Bajas;2020T1;""
09 Cataluña;Reactivaciones;No detectadas;2022T4;""
09 Cataluña;Reactivaciones;No detectadas;2022T3;""
09 Cataluña;Reactivaciones;No detectadas;2022T2;""
09 Cataluña;Reactivaciones;No detectadas;2022T1;""
09 Cataluña;Reactivaciones;No detectadas;2021T4;""
09 Cataluña;Reactivaciones;No detectadas;2021T3;""
09 Cataluña;Reactivaciones;No detectadas;2021T2;""
09 Cataluña;Reactivaciones;No detectadas;2021T1;""
09 Cataluña;Reactivaciones;No detectadas;2020T4;""
09 Cataluña;Reactivaciones;No detectadas;2020T3;""
09 Cataluña;Reactivaciones;No detectadas;2020T2;""
09 Cataluña;Reactivaciones;No detectadas;2020T1;""
09 Cataluña;Reactivaciones;Altas;2022T4;""
09 Cataluña;Reactivaciones;Altas;2022T3;""
09 Cataluña;Reactivaciones;Altas;2022T2;""
09 Cataluña;Reactivaciones;Altas;2022T1;""
09 Cataluña;Reactivaciones;Altas;2021T4;""
09 Cataluña;Reactivaciones;Altas;2021T3;""
09 Cataluña;Reactivaciones;Altas;2021T2;""
09 Cataluña;Reactivaciones;Altas;2021T1;""
09 Cataluña;Reactivaciones;Altas;2020T4;""
09 Cataluña;Reactivaciones;Altas;2020T3;""
09 Cataluña;Reactivaciones;Altas;2020T2;""
09 Cataluña;Reactivaciones;Altas;2020T1;""
09 Cataluña;Reactivaciones;Permanencias;2022T4;""
09 Cataluña;Reactivaciones;Permanencias;2022T3;""
09 Cataluña;Reactivaciones;Permanencias;2022T2;""
09 Cataluña;Reactivaciones;Permanencias;2022T1;""
09 Cataluña;Reactivaciones;Permanencias;2021T4;""
09 Cataluña;Reactivaciones;Permanencias;2021T3;""
09 Cataluña;Reactivaciones;Permanencias;2021T2;""
09 Cataluña;Reactivaciones;Permanencias;2021T1;""
09 Cataluña;Reactivaciones;Permanencias;2020T4;""
09 Cataluña;Reactivaciones;Permanencias;2020T3;""
09 Cataluña;Reactivaciones;Permanencias;2020T2;""
09 Cataluña;Reactivaciones;Permanencias;2020T1;""
09 Cataluña;Reactivaciones;Reactivaciones;2022T4;""
09 Cataluña;Reactivaciones;Reactivaciones;2022T3;""
09 Cataluña;Reactivaciones;Reactivaciones;2022T2;""
09 Cataluña;Reactivaciones;Reactivaciones;2022T1;""
09 Cataluña;Reactivaciones;Reactivaciones;2021T4;""
09 Cataluña;Reactivaciones;Reactivaciones;2021T3;""
09 Cataluña;Reactivaciones;Reactivaciones;2021T2;""
09 Cataluña;Reactivaciones;Reactivaciones;2021T1;""
09 Cataluña;Reactivaciones;Reactivaciones;2020T4;""
09 Cataluña;Reactivaciones;Reactivaciones;2020T3;""
09 Cataluña;Reactivaciones;Reactivaciones;2020T2;""
09 Cataluña;Reactivaciones;Reactivaciones;2020T1;""
09 Cataluña;Reactivaciones;Bajas;2022T4;1.315
09 Cataluña;Reactivaciones;Bajas;2022T3;1.370
09 Cataluña;Reactivaciones;Bajas;2022T2;1.204
09 Cataluña;Reactivaciones;Bajas;2022T1;1.477
09 Cataluña;Reactivaciones;Bajas;2021T4;1.261
09 Cataluña;Reactivaciones;Bajas;2021T3;1.037
09 Cataluña;Reactivaciones;Bajas;2021T2;861
09 Cataluña;Reactivaciones;Bajas;2021T1;1.404
09 Cataluña;Reactivaciones;Bajas;2020T4;1.109
09 Cataluña;Reactivaciones;Bajas;2020T3;974
09 Cataluña;Reactivaciones;Bajas;2020T2;4.122
09 Cataluña;Reactivaciones;Bajas;2020T1;""
09 Cataluña;Bajas;No detectadas;2022T4;""
09 Cataluña;Bajas;No detectadas;2022T3;""
09 Cataluña;Bajas;No detectadas;2022T2;""
09 Cataluña;Bajas;No detectadas;2022T1;""
09 Cataluña;Bajas;No detectadas;2021T4;""
09 Cataluña;Bajas;No detectadas;2021T3;""
09 Cataluña;Bajas;No detectadas;2021T2;""
09 Cataluña;Bajas;No detectadas;2021T1;""
09 Cataluña;Bajas;No detectadas;2020T4;""
09 Cataluña;Bajas;No detectadas;2020T3;""
09 Cataluña;Bajas;No detectadas;2020T2;""
09 Cataluña;Bajas;No detectadas;2020T1;""
09 Cataluña;Bajas;Altas;2022T4;1.682
09 Cataluña;Bajas;Altas;2022T3;2.970
09 Cataluña;Bajas;Altas;2022T2;1.830
09 Cataluña;Bajas;Altas;2022T1;1.955
09 Cataluña;Bajas;Altas;2021T4;1.673
09 Cataluña;Bajas;Altas;2021T3;3.030
09 Cataluña;Bajas;Altas;2021T2;1.963
09 Cataluña;Bajas;Altas;2021T1;1.785
09 Cataluña;Bajas;Altas;2020T4;2.039
09 Cataluña;Bajas;Altas;2020T3;1.919
09 Cataluña;Bajas;Altas;2020T2;1.475
09 Cataluña;Bajas;Altas;2020T1;""
09 Cataluña;Bajas;Permanencias;2022T4;21.493
09 Cataluña;Bajas;Permanencias;2022T3;16.064
09 Cataluña;Bajas;Permanencias;2022T2;17.633
09 Cataluña;Bajas;Permanencias;2022T1;17.240
09 Cataluña;Bajas;Permanencias;2021T4;18.978
09 Cataluña;Bajas;Permanencias;2021T3;15.121
09 Cataluña;Bajas;Permanencias;2021T2;14.979
09 Cataluña;Bajas;Permanencias;2021T1;12.428
09 Cataluña;Bajas;Permanencias;2020T4;16.735
09 Cataluña;Bajas;Permanencias;2020T3;15.842
09 Cataluña;Bajas;Permanencias;2020T2;10.450
09 Cataluña;Bajas;Permanencias;2020T1;""
09 Cataluña;Bajas;Reactivaciones;2022T4;276
09 Cataluña;Bajas;Reactivaciones;2022T3;266
09 Cataluña;Bajas;Reactivaciones;2022T2;260
09 Cataluña;Bajas;Reactivaciones;2022T1;282
09 Cataluña;Bajas;Reactivaciones;2021T4;220
09 Cataluña;Bajas;Reactivaciones;2021T3;179
09 Cataluña;Bajas;Reactivaciones;2021T2;235
09 Cataluña;Bajas;Reactivaciones;2021T1;165
09 Cataluña;Bajas;Reactivaciones;2020T4;159
09 Cataluña;Bajas;Reactivaciones;2020T3;444
09 Cataluña;Bajas;Reactivaciones;2020T2;""
09 Cataluña;Bajas;Reactivaciones;2020T1;""
09 Cataluña;Bajas;Bajas;2022T4;""
09 Cataluña;Bajas;Bajas;2022T3;""
09 Cataluña;Bajas;Bajas;2022T2;""
09 Cataluña;Bajas;Bajas;2022T1;""
09 Cataluña;Bajas;Bajas;2021T4;""
09 Cataluña;Bajas;Bajas;2021T3;""
09 Cataluña;Bajas;Bajas;2021T2;""
09 Cataluña;Bajas;Bajas;2021T1;""
09 Cataluña;Bajas;Bajas;2020T4;""
09 Cataluña;Bajas;Bajas;2020T3;""
09 Cataluña;Bajas;Bajas;2020T2;""
09 Cataluña;Bajas;Bajas;2020T1;""
09 Cataluña;No detectadas;No detectadas;2022T4;""
09 Cataluña;No detectadas;No detectadas;2022T3;""
09 Cataluña;No detectadas;No detectadas;2022T2;""
09 Cataluña;No detectadas;No detectadas;2022T1;""
09 Cataluña;No detectadas;No detectadas;2021T4;""
09 Cataluña;No detectadas;No detectadas;2021T3;""
09 Cataluña;No detectadas;No detectadas;2021T2;""
09 Cataluña;No detectadas;No detectadas;2021T1;""
09 Cataluña;No detectadas;No detectadas;2020T4;""
09 Cataluña;No detectadas;No detectadas;2020T3;""
09 Cataluña;No detectadas;No detectadas;2020T2;""
09 Cataluña;No detectadas;No detectadas;2020T1;""
09 Cataluña;No detectadas;Altas;2022T4;""
09 Cataluña;No detectadas;Altas;2022T3;""
09 Cataluña;No detectadas;Altas;2022T2;""
09 Cataluña;No detectadas;Altas;2022T1;""
09 Cataluña;No detectadas;Altas;2021T4;""
09 Cataluña;No detectadas;Altas;2021T3;""
09 Cataluña;No detectadas;Altas;2021T2;""
09 Cataluña;No detectadas;Altas;2021T1;""
09 Cataluña;No detectadas;Altas;2020T4;""
09 Cataluña;No detectadas;Altas;2020T3;""
09 Cataluña;No detectadas;Altas;2020T2;""
09 Cataluña;No detectadas;Altas;2020T1;""
09 Cataluña;No detectadas;Permanencias;2022T4;""
09 Cataluña;No detectadas;Permanencias;2022T3;""
09 Cataluña;No detectadas;Permanencias;2022T2;""
09 Cataluña;No detectadas;Permanencias;2022T1;""
09 Cataluña;No detectadas;Permanencias;2021T4;""
09 Cataluña;No detectadas;Permanencias;2021T3;""
09 Cataluña;No detectadas;Permanencias;2021T2;""
09 Cataluña;No detectadas;Permanencias;2021T1;""
09 Cataluña;No detectadas;Permanencias;2020T4;""
09 Cataluña;No detectadas;Permanencias;2020T3;""
09 Cataluña;No detectadas;Permanencias;2020T2;""
09 Cataluña;No detectadas;Permanencias;2020T1;""
09 Cataluña;No detectadas;Reactivaciones;2022T4;""
09 Cataluña;No detectadas;Reactivaciones;2022T3;""
09 Cataluña;No detectadas;Reactivaciones;2022T2;""
09 Cataluña;No detectadas;Reactivaciones;2022T1;""
09 Cataluña;No detectadas;Reactivaciones;2021T4;""
09 Cataluña;No detectadas;Reactivaciones;2021T3;""
09 Cataluña;No detectadas;Reactivaciones;2021T2;""
09 Cataluña;No detectadas;Reactivaciones;2021T1;""
09 Cataluña;No detectadas;Reactivaciones;2020T4;""
09 Cataluña;No detectadas;Reactivaciones;2020T3;""
09 Cataluña;No detectadas;Reactivaciones;2020T2;""
09 Cataluña;No detectadas;Reactivaciones;2020T1;""
09 Cataluña;No detectadas;Bajas;2022T4;17.985
09 Cataluña;No detectadas;Bajas;2022T3;18.353
09 Cataluña;No detectadas;Bajas;2022T2;18.273
09 Cataluña;No detectadas;Bajas;2022T1;19.394
09 Cataluña;No detectadas;Bajas;2021T4;17.069
09 Cataluña;No detectadas;Bajas;2021T3;16.140
09 Cataluña;No detectadas;Bajas;2021T2;13.517
09 Cataluña;No detectadas;Bajas;2021T1;17.529
09 Cataluña;No detectadas;Bajas;2020T4;17.096
09 Cataluña;No detectadas;Bajas;2020T3;10.951
09 Cataluña;No detectadas;Bajas;2020T2;28.629
09 Cataluña;No detectadas;Bajas;2020T1;""
10 Comunitat Valenciana;Total;No detectadas;2022T4;13.640
10 Comunitat Valenciana;Total;No detectadas;2022T3;10.402
10 Comunitat Valenciana;Total;No detectadas;2022T2;13.882
10 Comunitat Valenciana;Total;No detectadas;2022T1;13.065
10 Comunitat Valenciana;Total;No detectadas;2021T4;12.574
10 Comunitat Valenciana;Total;No detectadas;2021T3;10.941
10 Comunitat Valenciana;Total;No detectadas;2021T2;14.084
10 Comunitat Valenciana;Total;No detectadas;2021T1;12.132
10 Comunitat Valenciana;Total;No detectadas;2020T4;12.217
10 Comunitat Valenciana;Total;No detectadas;2020T3;11.921
10 Comunitat Valenciana;Total;No detectadas;2020T2;8.383
10 Comunitat Valenciana;Total;No detectadas;2020T1;15.964
10 Comunitat Valenciana;Total;Altas;2022T4;10.402
10 Comunitat Valenciana;Total;Altas;2022T3;13.882
10 Comunitat Valenciana;Total;Altas;2022T2;13.065
10 Comunitat Valenciana;Total;Altas;2022T1;12.574
10 Comunitat Valenciana;Total;Altas;2021T4;10.941
10 Comunitat Valenciana;Total;Altas;2021T3;14.084
10 Comunitat Valenciana;Total;Altas;2021T2;12.132
10 Comunitat Valenciana;Total;Altas;2021T1;12.217
10 Comunitat Valenciana;Total;Altas;2020T4;11.921
10 Comunitat Valenciana;Total;Altas;2020T3;8.383
10 Comunitat Valenciana;Total;Altas;2020T2;15.964
10 Comunitat Valenciana;Total;Altas;2020T1;""
10 Comunitat Valenciana;Total;Permanencias;2022T4;332.210
10 Comunitat Valenciana;Total;Permanencias;2022T3;330.729
10 Comunitat Valenciana;Total;Permanencias;2022T2;329.460
10 Comunitat Valenciana;Total;Permanencias;2022T1;328.123
10 Comunitat Valenciana;Total;Permanencias;2021T4;329.648
10 Comunitat Valenciana;Total;Permanencias;2021T3;327.108
10 Comunitat Valenciana;Total;Permanencias;2021T2;325.195
10 Comunitat Valenciana;Total;Permanencias;2021T1;322.026
10 Comunitat Valenciana;Total;Permanencias;2020T4;322.852
10 Comunitat Valenciana;Total;Permanencias;2020T3;323.882
10 Comunitat Valenciana;Total;Permanencias;2020T2;315.678
10 Comunitat Valenciana;Total;Permanencias;2020T1;""
10 Comunitat Valenciana;Total;Reactivaciones;2022T4;1.057
10 Comunitat Valenciana;Total;Reactivaciones;2022T3;747
10 Comunitat Valenciana;Total;Reactivaciones;2022T2;1.059
10 Comunitat Valenciana;Total;Reactivaciones;2022T1;883
10 Comunitat Valenciana;Total;Reactivaciones;2021T4;799
10 Comunitat Valenciana;Total;Reactivaciones;2021T3;648
10 Comunitat Valenciana;Total;Reactivaciones;2021T2;1.068
10 Comunitat Valenciana;Total;Reactivaciones;2021T1;725
10 Comunitat Valenciana;Total;Reactivaciones;2020T4;647
10 Comunitat Valenciana;Total;Reactivaciones;2020T3;3.018
10 Comunitat Valenciana;Total;Reactivaciones;2020T2;""
10 Comunitat Valenciana;Total;Reactivaciones;2020T1;""
10 Comunitat Valenciana;Total;Bajas;2022T4;13.148
10 Comunitat Valenciana;Total;Bajas;2022T3;12.855
10 Comunitat Valenciana;Total;Bajas;2022T2;12.120
10 Comunitat Valenciana;Total;Bajas;2022T1;13.265
10 Comunitat Valenciana;Total;Bajas;2021T4;12.192
10 Comunitat Valenciana;Total;Bajas;2021T3;11.287
10 Comunitat Valenciana;Total;Bajas;2021T2;9.773
10 Comunitat Valenciana;Total;Bajas;2021T1;13.394
10 Comunitat Valenciana;Total;Bajas;2020T4;12.431
10 Comunitat Valenciana;Total;Bajas;2020T3;7.760
10 Comunitat Valenciana;Total;Bajas;2020T2;22.718
10 Comunitat Valenciana;Total;Bajas;2020T1;""
10 Comunitat Valenciana;Altas;No detectadas;2022T4;13.640
10 Comunitat Valenciana;Altas;No detectadas;2022T3;10.402
10 Comunitat Valenciana;Altas;No detectadas;2022T2;13.882
10 Comunitat Valenciana;Altas;No detectadas;2022T1;13.065
10 Comunitat Valenciana;Altas;No detectadas;2021T4;12.574
10 Comunitat Valenciana;Altas;No detectadas;2021T3;10.941
10 Comunitat Valenciana;Altas;No detectadas;2021T2;14.084
10 Comunitat Valenciana;Altas;No detectadas;2021T1;12.132
10 Comunitat Valenciana;Altas;No detectadas;2020T4;12.217
10 Comunitat Valenciana;Altas;No detectadas;2020T3;11.921
10 Comunitat Valenciana;Altas;No detectadas;2020T2;8.383
10 Comunitat Valenciana;Altas;No detectadas;2020T1;15.964
10 Comunitat Valenciana;Altas;Altas;2022T4;""
10 Comunitat Valenciana;Altas;Altas;2022T3;""
10 Comunitat Valenciana;Altas;Altas;2022T2;""
10 Comunitat Valenciana;Altas;Altas;2022T1;""
10 Comunitat Valenciana;Altas;Altas;2021T4;""
10 Comunitat Valenciana;Altas;Altas;2021T3;""
10 Comunitat Valenciana;Altas;Altas;2021T2;""
10 Comunitat Valenciana;Altas;Altas;2021T1;""
10 Comunitat Valenciana;Altas;Altas;2020T4;""
10 Comunitat Valenciana;Altas;Altas;2020T3;""
10 Comunitat Valenciana;Altas;Altas;2020T2;""
10 Comunitat Valenciana;Altas;Altas;2020T1;""
10 Comunitat Valenciana;Altas;Permanencias;2022T4;""
10 Comunitat Valenciana;Altas;Permanencias;2022T3;""
10 Comunitat Valenciana;Altas;Permanencias;2022T2;""
10 Comunitat Valenciana;Altas;Permanencias;2022T1;""
10 Comunitat Valenciana;Altas;Permanencias;2021T4;""
10 Comunitat Valenciana;Altas;Permanencias;2021T3;""
10 Comunitat Valenciana;Altas;Permanencias;2021T2;""
10 Comunitat Valenciana;Altas;Permanencias;2021T1;""
10 Comunitat Valenciana;Altas;Permanencias;2020T4;""
10 Comunitat Valenciana;Altas;Permanencias;2020T3;""
10 Comunitat Valenciana;Altas;Permanencias;2020T2;""
10 Comunitat Valenciana;Altas;Permanencias;2020T1;""
10 Comunitat Valenciana;Altas;Reactivaciones;2022T4;""
10 Comunitat Valenciana;Altas;Reactivaciones;2022T3;""
10 Comunitat Valenciana;Altas;Reactivaciones;2022T2;""
10 Comunitat Valenciana;Altas;Reactivaciones;2022T1;""
10 Comunitat Valenciana;Altas;Reactivaciones;2021T4;""
10 Comunitat Valenciana;Altas;Reactivaciones;2021T3;""
10 Comunitat Valenciana;Altas;Reactivaciones;2021T2;""
10 Comunitat Valenciana;Altas;Reactivaciones;2021T1;""
10 Comunitat Valenciana;Altas;Reactivaciones;2020T4;""
10 Comunitat Valenciana;Altas;Reactivaciones;2020T3;""
10 Comunitat Valenciana;Altas;Reactivaciones;2020T2;""
10 Comunitat Valenciana;Altas;Reactivaciones;2020T1;""
10 Comunitat Valenciana;Altas;Bajas;2022T4;""
10 Comunitat Valenciana;Altas;Bajas;2022T3;""
10 Comunitat Valenciana;Altas;Bajas;2022T2;""
10 Comunitat Valenciana;Altas;Bajas;2022T1;""
10 Comunitat Valenciana;Altas;Bajas;2021T4;""
10 Comunitat Valenciana;Altas;Bajas;2021T3;""
10 Comunitat Valenciana;Altas;Bajas;2021T2;""
10 Comunitat Valenciana;Altas;Bajas;2021T1;""
10 Comunitat Valenciana;Altas;Bajas;2020T4;""
10 Comunitat Valenciana;Altas;Bajas;2020T3;""
10 Comunitat Valenciana;Altas;Bajas;2020T2;""
10 Comunitat Valenciana;Altas;Bajas;2020T1;""
10 Comunitat Valenciana;Permanencias;No detectadas;2022T4;""
10 Comunitat Valenciana;Permanencias;No detectadas;2022T3;""
10 Comunitat Valenciana;Permanencias;No detectadas;2022T2;""
10 Comunitat Valenciana;Permanencias;No detectadas;2022T1;""
10 Comunitat Valenciana;Permanencias;No detectadas;2021T4;""
10 Comunitat Valenciana;Permanencias;No detectadas;2021T3;""
10 Comunitat Valenciana;Permanencias;No detectadas;2021T2;""
10 Comunitat Valenciana;Permanencias;No detectadas;2021T1;""
10 Comunitat Valenciana;Permanencias;No detectadas;2020T4;""
10 Comunitat Valenciana;Permanencias;No detectadas;2020T3;""
10 Comunitat Valenciana;Permanencias;No detectadas;2020T2;""
10 Comunitat Valenciana;Permanencias;No detectadas;2020T1;""
10 Comunitat Valenciana;Permanencias;Altas;2022T4;9.319
10 Comunitat Valenciana;Permanencias;Altas;2022T3;11.675
10 Comunitat Valenciana;Permanencias;Altas;2022T2;11.852
10 Comunitat Valenciana;Permanencias;Altas;2022T1;11.321
10 Comunitat Valenciana;Permanencias;Altas;2021T4;9.641
10 Comunitat Valenciana;Permanencias;Altas;2021T3;11.883
10 Comunitat Valenciana;Permanencias;Altas;2021T2;10.961
10 Comunitat Valenciana;Permanencias;Altas;2021T1;11.019
10 Comunitat Valenciana;Permanencias;Altas;2020T4;10.397
10 Comunitat Valenciana;Permanencias;Altas;2020T3;6.804
10 Comunitat Valenciana;Permanencias;Altas;2020T2;15.115
10 Comunitat Valenciana;Permanencias;Altas;2020T1;""
10 Comunitat Valenciana;Permanencias;Permanencias;2022T4;318.870
10 Comunitat Valenciana;Permanencias;Permanencias;2022T3;319.965
10 Comunitat Valenciana;Permanencias;Permanencias;2022T2;317.980
10 Comunitat Valenciana;Permanencias;Permanencias;2022T1;317.404
10 Comunitat Valenciana;Permanencias;Permanencias;2021T4;317.833
10 Comunitat Valenciana;Permanencias;Permanencias;2021T3;317.248
10 Comunitat Valenciana;Permanencias;Permanencias;2021T2;315.206
10 Comunitat Valenciana;Permanencias;Permanencias;2021T1;313.546
10 Comunitat Valenciana;Permanencias;Permanencias;2020T4;311.071
10 Comunitat Valenciana;Permanencias;Permanencias;2020T3;313.358
10 Comunitat Valenciana;Permanencias;Permanencias;2020T2;308.767
10 Comunitat Valenciana;Permanencias;Permanencias;2020T1;""
10 Comunitat Valenciana;Permanencias;Reactivaciones;2022T4;887
10 Comunitat Valenciana;Permanencias;Reactivaciones;2022T3;570
10 Comunitat Valenciana;Permanencias;Reactivaciones;2022T2;897
10 Comunitat Valenciana;Permanencias;Reactivaciones;2022T1;735
10 Comunitat Valenciana;Permanencias;Reactivaciones;2021T4;649
10 Comunitat Valenciana;Permanencias;Reactivaciones;2021T3;517
10 Comunitat Valenciana;Permanencias;Reactivaciones;2021T2;941
10 Comunitat Valenciana;Permanencias;Reactivaciones;2021T1;630
10 Comunitat Valenciana;Permanencias;Reactivaciones;2020T4;558
10 Comunitat Valenciana;Permanencias;Reactivaciones;2020T3;2.690
10 Comunitat Valenciana;Permanencias;Reactivaciones;2020T2;""
10 Comunitat Valenciana;Permanencias;Reactivaciones;2020T1;""
10 Comunitat Valenciana;Permanencias;Bajas;2022T4;""
10 Comunitat Valenciana;Permanencias;Bajas;2022T3;""
10 Comunitat Valenciana;Permanencias;Bajas;2022T2;""
10 Comunitat Valenciana;Permanencias;Bajas;2022T1;""
10 Comunitat Valenciana;Permanencias;Bajas;2021T4;""
10 Comunitat Valenciana;Permanencias;Bajas;2021T3;""
10 Comunitat Valenciana;Permanencias;Bajas;2021T2;""
10 Comunitat Valenciana;Permanencias;Bajas;2021T1;""
10 Comunitat Valenciana;Permanencias;Bajas;2020T4;""
10 Comunitat Valenciana;Permanencias;Bajas;2020T3;""
10 Comunitat Valenciana;Permanencias;Bajas;2020T2;""
10 Comunitat Valenciana;Permanencias;Bajas;2020T1;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2022T4;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2022T3;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2022T2;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2022T1;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2021T4;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2021T3;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2021T2;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2021T1;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2020T4;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2020T3;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2020T2;""
10 Comunitat Valenciana;Reactivaciones;No detectadas;2020T1;""
10 Comunitat Valenciana;Reactivaciones;Altas;2022T4;""
10 Comunitat Valenciana;Reactivaciones;Altas;2022T3;""
10 Comunitat Valenciana;Reactivaciones;Altas;2022T2;""
10 Comunitat Valenciana;Reactivaciones;Altas;2022T1;""
10 Comunitat Valenciana;Reactivaciones;Altas;2021T4;""
10 Comunitat Valenciana;Reactivaciones;Altas;2021T3;""
10 Comunitat Valenciana;Reactivaciones;Altas;2021T2;""
10 Comunitat Valenciana;Reactivaciones;Altas;2021T1;""
10 Comunitat Valenciana;Reactivaciones;Altas;2020T4;""
10 Comunitat Valenciana;Reactivaciones;Altas;2020T3;""
10 Comunitat Valenciana;Reactivaciones;Altas;2020T2;""
10 Comunitat Valenciana;Reactivaciones;Altas;2020T1;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2022T4;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2022T3;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2022T2;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2022T1;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2021T4;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2021T3;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2021T2;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2021T1;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2020T4;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2020T3;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2020T2;""
10 Comunitat Valenciana;Reactivaciones;Permanencias;2020T1;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2022T4;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2022T3;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2022T2;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2022T1;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2021T4;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2021T3;""
10 Comunitat Valenciana;Reactivaciones;Reactivaciones;2021T2;""
