Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
Total Nacional;No detectadas;Altas;2022T3;""
Total Nacional;No detectadas;Altas;2022T2;""
Total Nacional;No detectadas;Altas;2022T1;""
Total Nacional;No detectadas;Altas;2021T4;""
Total Nacional;No detectadas;Altas;2021T3;""
Total Nacional;No detectadas;Altas;2021T2;""
Total Nacional;No detectadas;Altas;2021T1;""
Total Nacional;No detectadas;Altas;2020T4;""
Total Nacional;No detectadas;Altas;2020T3;""
Total Nacional;No detectadas;Altas;2020T2;""
Total Nacional;No detectadas;Altas;2020T1;""
Total Nacional;No detectadas;Permanencias;2022T4;""
Total Nacional;No detectadas;Permanencias;2022T3;""
Total Nacional;No detectadas;Permanencias;2022T2;""
Total Nacional;No detectadas;Permanencias;2022T1;""
Total Nacional;No detectadas;Permanencias;2021T4;""
Total Nacional;No detectadas;Permanencias;2021T3;""
Total Nacional;No detectadas;Permanencias;2021T2;""
Total Nacional;No detectadas;Permanencias;2021T1;""
Total Nacional;No detectadas;Permanencias;2020T4;""
Total Nacional;No detectadas;Permanencias;2020T3;""
Total Nacional;No detectadas;Permanencias;2020T2;""
Total Nacional;No detectadas;Permanencias;2020T1;""
Total Nacional;No detectadas;Reactivaciones;2022T4;""
Total Nacional;No detectadas;Reactivaciones;2022T3;""
Total Nacional;No detectadas;Reactivaciones;2022T2;""
Total Nacional;No detectadas;Reactivaciones;2022T1;""
Total Nacional;No detectadas;Reactivaciones;2021T4;""
Total Nacional;No detectadas;Reactivaciones;2021T3;""
Total Nacional;No detectadas;Reactivaciones;2021T2;""
Total Nacional;No detectadas;Reactivaciones;2021T1;""
Total Nacional;No detectadas;Reactivaciones;2020T4;""
Total Nacional;No detectadas;Reactivaciones;2020T3;""
Total Nacional;No detectadas;Reactivaciones;2020T2;""
Total Nacional;No detectadas;Reactivaciones;2020T1;""
Total Nacional;No detectadas;Bajas;2022T4;99.387
Total Nacional;No detectadas;Bajas;2022T3;99.486
Total Nacional;No detectadas;Bajas;2022T2;96.431
Total Nacional;No detectadas;Bajas;2022T1;103.825
Total Nacional;No detectadas;Bajas;2021T4;91.262
Total Nacional;No detectadas;Bajas;2021T3;88.533
Total Nacional;No detectadas;Bajas;2021T2;74.977
Total Nacional;No detectadas;Bajas;2021T1;97.584
Total Nacional;No detectadas;Bajas;2020T4;96.378
Total Nacional;No detectadas;Bajas;2020T3;61.178
Total Nacional;No detectadas;Bajas;2020T2;163.525
Total Nacional;No detectadas;Bajas;2020T1;""
01 Andalucía;Total;No detectadas;2022T4;17.455
01 Andalucía;Total;No detectadas;2022T3;16.221
01 Andalucía;Total;No detectadas;2022T2;20.804
01 Andalucía;Total;No detectadas;2022T1;18.496
01 Andalucía;Total;No detectadas;2021T4;17.859
01 Andalucía;Total;No detectadas;2021T3;16.350
01 Andalucía;Total;No detectadas;2021T2;22.420
01 Andalucía;Total;No detectadas;2021T1;17.721
01 Andalucía;Total;No detectadas;2020T4;19.064
01 Andalucía;Total;No detectadas;2020T3;18.148
01 Andalucía;Total;No detectadas;2020T2;13.066
01 Andalucía;Total;No detectadas;2020T1;23.589
01 Andalucía;Total;Altas;2022T4;16.221
01 Andalucía;Total;Altas;2022T3;20.804
01 Andalucía;Total;Altas;2022T2;18.496
01 Andalucía;Total;Altas;2022T1;17.859
01 Andalucía;Total;Altas;2021T4;16.350
01 Andalucía;Total;Altas;2021T3;22.420
01 Andalucía;Total;Altas;2021T2;17.721
01 Andalucía;Total;Altas;2021T1;19.064
01 Andalucía;Total;Altas;2020T4;18.148
01 Andalucía;Total;Altas;2020T3;13.066
01 Andalucía;Total;Altas;2020T2;23.589
01 Andalucía;Total;Altas;2020T1;""
01 Andalucía;Total;Permanencias;2022T4;483.189
01 Andalucía;Total;Permanencias;2022T3;480.272
01 Andalucía;Total;Permanencias;2022T2;478.985
01 Andalucía;Total;Permanencias;2022T1;477.878
01 Andalucía;Total;Permanencias;2021T4;479.704
01 Andalucía;Total;Permanencias;2021T3;473.453
01 Andalucía;Total;Permanencias;2021T2;470.284
01 Andalucía;Total;Permanencias;2021T1;463.731
01 Andalucía;Total;Permanencias;2020T4;462.471
01 Andalucía;Total;Permanencias;2020T3;460.933
01 Andalucía;Total;Permanencias;2020T2;448.114
01 Andalucía;Total;Permanencias;2020T1;""
01 Andalucía;Total;Reactivaciones;2022T4;1.589
01 Andalucía;Total;Reactivaciones;2022T3;1.146
