,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
746,Murcia,523,459,10,,47,4,3,2023_4T.xlsx,,
747,Navarra,97,61,24,,12,0,0,2023_4T.xlsx,,
748,Pais Vasco,225,113,55,,50,4,3,2023_4T.xlsx,,
749,Araba/Álava,38,28,6,,4,0,0,2023_4T.xlsx,,
750,Bizkaia,138,66,34,,31,4,3,2023_4T.xlsx,,
751,Gipuzkoa,49,19,15,,15,0,0,2023_4T.xlsx,,
752,La Rioja,35,27,0,,6,1,1,2023_4T.xlsx,,
753,Ceuta y Melilla,21,20,0,,1,0,0,2023_4T.xlsx,,
754,Ceuta,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,2023_4T.xlsx,,
755,Melilla,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,2023_4T.xlsx,,
756,Andalucía,1022,704,188,,126,3,1,2024_1T.xlsx,,
757,Almería,102,86,6,,9,1,0,2024_1T.xlsx,,
758,Cádiz,143,109,25,,8,1,0,2024_1T.xlsx,,
759,Córdoba,48,31,2,,15,0,0,2024_1T.xlsx,,
760,Granada,117,93,9,,14,1,0,2024_1T.xlsx,,
761,Huelva,63,15,41,,6,0,1,2024_1T.xlsx,,
762,Jaén,25,19,0,,6,0,0,2024_1T.xlsx,,
763,Málaga,189,154,2,,33,0,0,2024_1T.xlsx,,
764,Sevilla,335,197,103,,35,0,0,2024_1T.xlsx,,
765,Aragón,149,104,12,,31,2,0,2024_1T.xlsx,,
766,Huesca,19,6,10,,2,1,0,2024_1T.xlsx,,
767,Teruel,11,7,2,,2,0,0,2024_1T.xlsx,,
768,Zaragoza,119,91,0,,27,1,0,2024_1T.xlsx,,
769,Asturias,180,121,32,,26,0,1,2024_1T.xlsx,,
770,"Balears, Illes",81,49,14,,17,1,0,2024_1T.xlsx,,
771,Canarias,412,350,35,,26,0,1,2024_1T.xlsx,,
772,Las Palmas de Gran Canaria,248,218,16,,13,0,1,2024_1T.xlsx,,
773,Santa Cruz de Tenerife,164,132,19,,13,0,0,2024_1T.xlsx,,
774,Cantabria,63,45,1,,16,0,1,2024_1T.xlsx,,
775,Castilla y León,244,166,28,,45,2,3,2024_1T.xlsx,,
776,Ávila,6,5,1,,0,0,0,2024_1T.xlsx,,
777,Burgos,24,13,3,,7,0,1,2024_1T.xlsx,,
778,León,62,52,3,,6,1,0,2024_1T.xlsx,,
779,Palencia,8,4,0,,4,0,0,2024_1T.xlsx,,
780,Salamanca,33,20,5,,7,0,1,2024_1T.xlsx,,
781,Segovia,14,10,0,,3,0,1,2024_1T.xlsx,,
782,Soria,3,1,0,,2,0,0,2024_1T.xlsx,,
783,Valladolid,78,48,14,,15,1,0,2024_1T.xlsx,,
784,Zamora,16,13,2,,1,0,0,2024_1T.xlsx,,
785,Castilla-La Mancha,247,206,7,,30,3,1,2024_1T.xlsx,,
786,Albacete,55,39,4,,11,0,1,2024_1T.xlsx,,
787,Ciudad Real,18,13,0,,4,1,0,2024_1T.xlsx,,
788,Cuenca,19,14,0,,4,1,0,2024_1T.xlsx,,
789,Guadalajara,37,34,0,,3,0,0,2024_1T.xlsx,,
790,Toledo,118,106,3,,8,1,0,2024_1T.xlsx,,
791,Cataluña,2126,1388,352,,360,19,7,2024_1T.xlsx,,
792,Barcelona,1680,1060,283,,316,15,6,2024_1T.xlsx,,
793,Girona,154,118,21,,13,1,1,2024_1T.xlsx,,
794,Lleida,138,104,19,,13,2,0,2024_1T.xlsx,,
795,Tarragona,154,106,29,,18,1,0,2024_1T.xlsx,,
796,Comunitat Valenciana,1170,823,125,,210,6,6,2024_1T.xlsx,,
797,Alicante,487,339,63,,83,0,2,2024_1T.xlsx,,
798,Castellón,59,28,22,,8,0,1,2024_1T.xlsx,,
799,Valencia,624,456,40,,119,6,3,2024_1T.xlsx,,
800,Extremadura,102,81,9,,10,0,2,2024_1T.xlsx,,
801,Badajoz,78,67,3,,6,0,2,2024_1T.xlsx,,
802,Cáceres,24,14,6,,4,0,0,2024_1T.xlsx,,
803,Galicia,252,173,20,,56,1,2,2024_1T.xlsx,,
804,A Coruña,120,83,11,,24,0,2,2024_1T.xlsx,,
805,Lugo,24,19,1,,4,0,0,2024_1T.xlsx,,
806,Ourense,14,8,3,,3,0,0,2024_1T.xlsx,,
807,Pontevedra,94,63,5,,25,1,0,2024_1T.xlsx,,
808,Madrid,1324,791,179,,325,25,4,2024_1T.xlsx,,
809,Murcia,442,393,4,,41,1,3,2024_1T.xlsx,,
810,Navarra,74,44,14,,15,0,1,2024_1T.xlsx,,
811,Pais Vasco,258,140,32,,75,8,3,2024_1T.xlsx,,
812,Araba/Álava,46,37,3,,3,2,1,2024_1T.xlsx,,
813,Bizkaia,129,67,14,,43,4,1,2024_1T.xlsx,,
814,Gipuzkoa,83,36,15,,29,2,1,2024_1T.xlsx,,
815,La Rioja,31,21,2,,6,2,0,2024_1T.xlsx,,
816,Ceuta y Melilla,22,20,0,,2,0,0,2024_1T.xlsx,,
817,Ceuta,17,15,0,,2,0,0,2024_1T.xlsx,,
818,Melilla,5,5,0,,0,0,0,2024_1T.xlsx,,
819,Andalucía,1142,890,104,,141,4,3,2024_2T.xlsx,,
820,Almería,179,164,7,,7,1,0,2024_2T.xlsx,,
821,Cádiz,212,174,14,,23,1,0,2024_2T.xlsx,,
822,Córdoba,76,52,15,,9,0,0,2024_2T.xlsx,,
823,Granada,182,149,8,,24,0,1,2024_2T.xlsx,,
824,Huelva,38,19,11,,7,0,1,2024_2T.xlsx,,
825,Jaén,16,11,0,,4,0,1,2024_2T.xlsx,,
826,Málaga,210,172,3,,34,1,0,2024_2T.xlsx,,
827,Sevilla,229,149,46,,33,1,0,2024_2T.xlsx,,
828,Aragón,199,148,18,,29,3,1,2024_2T.xlsx,,
829,Huesca,30,8,17,,5,0,0,2024_2T.xlsx,,
830,Teruel,7,5,1,,1,0,0,2024_2T.xlsx,,
831,Zaragoza,162,135,0,,23,3,1,2024_2T.xlsx,,
832,Asturias,218,152,30,,35,0,1,2024_2T.xlsx,,
833,"Balears, Illes",260,226,15,,17,2,0,2024_2T.xlsx,,
834,Canarias,558,483,45,,29,1,0,2024_2T.xlsx,,
835,Las Palmas de Gran Canaria,448,392,37,,19,0,0,2024_2T.xlsx,,
836,Santa Cruz de Tenerife,110,91,8,,10,1,0,2024_2T.xlsx,,
837,Cantabria,59,49,0,,8,1,1,2024_2T.xlsx,,
838,Castilla y León,290,234,17,,38,1,0,2024_2T.xlsx,,
839,Ávila,3,3,0,,0,0,0,2024_2T.xlsx,,
840,Burgos,13,9,0,,4,0,0,2024_2T.xlsx,,
841,León,93,83,0,,10,0,0,2024_2T.xlsx,,
842,Palencia,15,10,3,,2,0,0,2024_2T.xlsx,,
843,Salamanca,36,26,4,,6,0,0,2024_2T.xlsx,,
844,Segovia,16,13,0,,3,0,0,2024_2T.xlsx,,
845,Soria,10,7,2,,1,0,0,2024_2T.xlsx,,
846,Valladolid,96,79,6,,10,1,0,2024_2T.xlsx,,
847,Zamora,8,4,2,,2,0,0,2024_2T.xlsx,,
848,Castilla-La Mancha,271,218,10,,39,2,2,2024_2T.xlsx,,
849,Albacete,80,57,3,,18,1,1,2024_2T.xlsx,,
850,Ciudad Real,36,25,3,,7,0,1,2024_2T.xlsx,,
851,Cuenca,27,24,2,,1,0,0,2024_2T.xlsx,,
852,Guadalajara,46,42,1,,3,0,0,2024_2T.xlsx,,
853,Toledo,82,70,1,,10,1,0,2024_2T.xlsx,,
854,Cataluña,2500,1780,338,,358,19,5,2024_2T.xlsx,,
855,Barcelona,1992,1394,273,,301,19,5,2024_2T.xlsx,,
856,Girona,127,99,12,,16,0,0,2024_2T.xlsx,,
857,Lleida,155,122,15,,18,0,0,2024_2T.xlsx,,
858,Tarragona,226,165,38,,23,0,0,2024_2T.xlsx,,
859,Comunitat Valenciana,1247,936,117,,188,5,1,2024_2T.xlsx,,
860,Alicante,517,369,57,,89,2,0,2024_2T.xlsx,,
861,Castellón,79,49,24,,5,1,0,2024_2T.xlsx,,
862,Valencia,651,518,36,,94,2,1,2024_2T.xlsx,,
863,Extremadura,126,105,6,,14,0,1,2024_2T.xlsx,,
864,Badajoz,105,92,4,,9,0,0,2024_2T.xlsx,,
865,Cáceres,21,13,2,,5,0,1,2024_2T.xlsx,,
866,Galicia,381,303,9,,64,1,4,2024_2T.xlsx,,
867,A Coruña,170,140,5,,23,0,2,2024_2T.xlsx,,
868,Lugo,66,53,1,,10,0,2,2024_2T.xlsx,,
869,Ourense,29,26,1,,2,0,0,2024_2T.xlsx,,
870,Pontevedra,116,84,2,,29,1,0,2024_2T.xlsx,,
871,Madrid,1463,936,210,,286,25,6,2024_2T.xlsx,,
872,Murcia,536,490,1,,41,1,3,2024_2T.xlsx,,
873,Navarra,89,36,41,,9,1,2,2024_2T.xlsx,,
874,Pais Vasco,300,193,34,,58,8,7,2024_2T.xlsx,,
875,Araba/Álava,56,35,6,,10,5,0,2024_2T.xlsx,,
876,Bizkaia,172,124,6,,34,2,6,2024_2T.xlsx,,
877,Gipuzkoa,72,34,22,,14,1,1,2024_2T.xlsx,,
878,La Rioja,32,25,1,,4,1,1,2024_2T.xlsx,,
879,Ceuta y Melilla,27,24,0,,3,0,0,2024_2T.xlsx,,
880,Ceuta,18,16,0,,2,0,0,2024_2T.xlsx,,
881,Melilla,9,8,0,,1,0,0,2024_2T.xlsx,,
882,Andalucía,1452,1152,145,,148,2,5,2024_3T.xlsx,,
883,Almería,106,94,4,,7,0,1,2024_3T.xlsx,,
884,Cádiz,283,218,46,,18,1,0,2024_3T.xlsx,,
885,Córdoba,68,47,5,,15,0,1,2024_3T.xlsx,,
886,Granada,107,87,7,,13,0,0,2024_3T.xlsx,,
887,Huelva,89,54,26,,8,0,1,2024_3T.xlsx,,
888,Jaén,126,112,2,,12,0,0,2024_3T.xlsx,,
889,Málaga,206,166,16,,23,0,1,2024_3T.xlsx,,
890,Sevilla,467,374,39,,52,1,1,2024_3T.xlsx,,
891,Aragón,156,114,20,,17,4,1,2024_3T.xlsx,,
892,Huesca,42,22,17,,3,0,0,2024_3T.xlsx,,
893,Teruel,9,6,2,,1,0,0,2024_3T.xlsx,,
894,Zaragoza,105,86,1,,13,4,1,2024_3T.xlsx,,
895,Asturias,168,122,19,,22,4,1,2024_3T.xlsx,,
896,"Balears, Illes",249,203,22,,22,1,1,2024_3T.xlsx,,
897,Canarias,474,444,5,,22,1,2,2024_3T.xlsx,,
898,Las Palmas de Gran Canaria,310,293,2,,13,1,1,2024_3T.xlsx,,
899,Santa Cruz de Tenerife,164,151,3,,9,0,1,2024_3T.xlsx,,
900,Cantabria,97,92,0,,4,0,1,2024_3T.xlsx,,
901,Castilla y León,315,257,17,,37,2,2,2024_3T.xlsx,,
902,Ávila,16,16,0,,0,0,0,2024_3T.xlsx,,
903,Burgos,24,21,0,,3,0,0,2024_3T.xlsx,,
904,León,77,63,5,,9,0,0,2024_3T.xlsx,,
905,Palencia,12,10,0,,2,0,0,2024_3T.xlsx,,
906,Salamanca,57,44,6,,6,1,0,2024_3T.xlsx,,
907,Segovia,11,8,0,,3,0,0,2024_3T.xlsx,,
908,Soria,15,13,0,,2,0,0,2024_3T.xlsx,,
909,Valladolid,97,77,5,,12,1,2,2024_3T.xlsx,,
910,Zamora,6,5,1,,0,0,0,2024_3T.xlsx,,
911,Castilla-La Mancha,224,187,3,,33,0,1,2024_3T.xlsx,,
912,Albacete,72,55,2,,14,0,1,2024_3T.xlsx,,
913,Ciudad Real,9,3,1,,5,0,0,2024_3T.xlsx,,
914,Cuenca,14,13,0,,1,0,0,2024_3T.xlsx,,
915,Guadalajara,66,59,0,,7,0,0,2024_3T.xlsx,,
916,Toledo,63,57,0,,6,0,0,2024_3T.xlsx,,
917,Cataluña,2598,1962,339,,272,15,10,2024_3T.xlsx,,
918,Barcelona,2055,1534,267,,232,14,8,2024_3T.xlsx,,
919,Girona,156,123,8,,25,0,0,2024_3T.xlsx,,
920,Lleida,175,141,27,,6,1,0,2024_3T.xlsx,,
921,Tarragona,212,164,37,,9,0,2,2024_3T.xlsx,,
922,Comunitat Valenciana,1427,1142,120,,151,6,8,2024_3T.xlsx,,
923,Alicante,527,418,66,,39,2,2,2024_3T.xlsx,,
924,Castellón,86,66,10,,9,1,0,2024_3T.xlsx,,
925,Valencia,814,658,44,,103,3,6,2024_3T.xlsx,,
926,Extremadura,170,134,16,,20,0,0,2024_3T.xlsx,,
927,Badajoz,93,81,1,,11,0,0,2024_3T.xlsx,,
928,Cáceres,77,53,15,,9,0,0,2024_3T.xlsx,,
929,Galicia,376,294,11,,69,1,1,2024_3T.xlsx,,
930,A Coruña,179,152,1,,25,1,0,2024_3T.xlsx,,
931,Lugo,44,35,0,,9,0,0,2024_3T.xlsx,,
932,Ourense,21,15,2,,4,0,0,2024_3T.xlsx,,
933,Pontevedra,132,92,8,,31,0,1,2024_3T.xlsx,,
934,Madrid,1202,832,187,,169,8,6,2024_3T.xlsx,,
935,Murcia,552,503,3,,44,0,2,2024_3T.xlsx,,
936,Navarra,63,41,15,,5,2,0,2024_3T.xlsx,,
937,Pais Vasco,226,135,29,,55,5,2,2024_3T.xlsx,,
938,Araba/Álava,54,41,2,,10,0,1,2024_3T.xlsx,,
939,Bizkaia,93,62,2,,25,3,1,2024_3T.xlsx,,
940,Gipuzkoa,79,32,25,,20,2,0,2024_3T.xlsx,,
941,La Rioja,49,44,0,,4,1,0,2024_3T.xlsx,,
942,Ceuta y Melilla,35,32,0,,3,0,0,2024_3T.xlsx,,
943,Ceuta,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,2024_3T.xlsx,,
944,Melilla,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,2024_3T.xlsx,,
945,Andalucía,1663,1377,120,,158,5,3,2024_4T.xlsx,,
946,Almería,166,154,2,,9,1,0,2024_4T.xlsx,,
947,Cádiz,263,218,20,,24,0,1,2024_4T.xlsx,,
948,Córdoba,149,132,5,,12,0,0,2024_4T.xlsx,,
949,Granada,179,164,5,,10,0,0,2024_4T.xlsx,,
950,Huelva,61,30,27,,4,0,0,2024_4T.xlsx,,
951,Jaén,86,78,0,,7,1,0,2024_4T.xlsx,,
952,Málaga,375,330,4,,38,2,1,2024_4T.xlsx,,
953,Sevilla,384,271,57,,54,1,1,2024_4T.xlsx,,
954,Aragón,210,168,18,,20,3,1,2024_4T.xlsx,,
955,Huesca,41,25,15,,1,0,0,2024_4T.xlsx,,
956,Teruel,19,12,3,,3,1,0,2024_4T.xlsx,,
957,Zaragoza,150,131,0,,16,2,1,2024_4T.xlsx,,
958,Asturias,260,206,31,,22,0,1,2024_4T.xlsx,,
959,"Balears, Illes",327,279,39,,9,0,0,2024_4T.xlsx,,
960,Canarias,705,646,19,,38,2,0,2024_4T.xlsx,,
961,Las Palmas de Gran Canaria,380,345,12,,22,1,0,2024_4T.xlsx,,
962,Santa Cruz de Tenerife,325,301,7,,16,1,0,2024_4T.xlsx,,
963,Cantabria,101,89,0,,11,0,1,2024_4T.xlsx,,
964,Castilla y León,418,373,24,,21,0,0,2024_4T.xlsx,,
965,Ávila,38,37,0,,1,0,0,2024_4T.xlsx,,
966,Burgos,42,39,1,,2,0,0,2024_4T.xlsx,,
967,León,116,105,4,,7,0,0,2024_4T.xlsx,,
968,Palencia,30,27,1,,2,0,0,2024_4T.xlsx,,
969,Salamanca,64,57,5,,2,0,0,2024_4T.xlsx,,
970,Segovia,26,25,1,,0,0,0,2024_4T.xlsx,,
971,Soria,11,11,0,,0,0,0,2024_4T.xlsx,,
972,Valladolid,83,66,11,,6,0,0,2024_4T.xlsx,,
973,Zamora,8,6,1,,1,0,0,2024_4T.xlsx,,
974,Castilla-La Mancha,367,317,16,,33,1,0,2024_4T.xlsx,,
975,Albacete,109,92,8,,9,0,0,2024_4T.xlsx,,
976,Ciudad Real,12,4,0,,8,0,0,2024_4T.xlsx,,
977,Cuenca,27,24,1,,2,0,0,2024_4T.xlsx,,
978,Guadalajara,20,17,0,,3,0,0,2024_4T.xlsx,,
979,Toledo,199,180,7,,11,1,0,2024_4T.xlsx,,
980,Cataluña,3472,2611,510,,317,21,13,2024_4T.xlsx,,
981,Barcelona,2614,1924,382,,281,19,8,2024_4T.xlsx,,
982,Girona,319,272,31,,14,1,1,2024_4T.xlsx,,
983,Lleida,226,173,41,,8,0,4,2024_4T.xlsx,,
984,Tarragona,313,242,56,,14,1,0,2024_4T.xlsx,,
985,Comunitat Valenciana,1581,1297,135,,142,4,3,2024_4T.xlsx,,
986,Alicante,572,433,92,,47,0,0,2024_4T.xlsx,,
987,Castellón,75,60,4,,11,0,0,2024_4T.xlsx,,
988,Valencia,934,804,39,,84,4,3,2024_4T.xlsx,,
989,Extremadura,183,152,12,,17,2,0,2024_4T.xlsx,,
990,Badajoz,137,126,1,,8,2,0,2024_4T.xlsx,,
991,Cáceres,46,26,11,,9,0,0,2024_4T.xlsx,,
992,Galicia,497,421,13,,58,3,2,2024_4T.xlsx,,
993,A Coruña,262,228,2,,28,3,1,2024_4T.xlsx,,
994,Lugo,48,36,4,,8,0,0,2024_4T.xlsx,,
995,Ourense,38,33,3,,2,0,0,2024_4T.xlsx,,
996,Pontevedra,149,124,4,,20,0,1,2024_4T.xlsx,,
997,Madrid,2363,1610,397,,329,19,8,2024_4T.xlsx,,
998,Murcia,707,659,2,,44,0,2,2024_4T.xlsx,,
999,Navarra,107,69,27,,8,2,1,2024_4T.xlsx,,
1000,Pais Vasco,339,232,39,,62,4,2,2024_4T.xlsx,,
1001,Araba/Álava,63,45,3,,13,2,0,2024_4T.xlsx,,
1002,Bizkaia,173,136,3,,31,1,2,2024_4T.xlsx,,
1003,Gipuzkoa,103,51,33,,18,1,0,2024_4T.xlsx,,
1004,La Rioja,49,46,0,,3,0,0,2024_4T.xlsx,,
1005,Ceuta y Melilla,20,18,0,,2,0,0,2024_4T.xlsx,,
1006,Ceuta,11,9,0,,2,0,0,2024_4T.xlsx,,
1007,Melilla,9,9,0,,0,0,0,2024_4T.xlsx,,
1008,Andalucía,2123,1716,229,,168,5,5,2025_1T.xlsx,,
1009,Almería,276,256,3,,16,0,1,2025_1T.xlsx,,
1010,Cádiz,356,238,100,,17,1,0,2025_1T.xlsx,,
1011,Córdoba,117,111,0,,5,0,1,2025_1T.xlsx,,
1012,Granada,222,184,17,,19,2,0,2025_1T.xlsx,,
1013,Huelva,125,96,23,,6,0,0,2025_1T.xlsx,,
1014,Jaén,41,36,0,,5,0,0,2025_1T.xlsx,,
1015,Málaga,425,376,7,,41,0,1,2025_1T.xlsx,,
1016,Sevilla,561,419,79,,59,2,2,2025_1T.xlsx,,
1017,Aragón,231,188,16,,21,4,2,2025_1T.xlsx,,
1018,Huesca,68,48,14,,4,0,2,2025_1T.xlsx,,
1019,Teruel,16,13,2,,1,0,0,2025_1T.xlsx,,
1020,Zaragoza,147,127,0,,16,4,0,2025_1T.xlsx,,
1021,Asturias,243,182,30,,30,1,0,2025_1T.xlsx,,
1022,"Balears, Illes",345,263,43,,36,3,0,2025_1T.xlsx,,
1023,Canarias,635,589,18,,24,3,1,2025_1T.xlsx,,
1024,Las Palmas de Gran Canaria,307,279,12,,14,1,1,2025_1T.xlsx,,
1025,Santa Cruz de Tenerife,328,310,6,,10,2,0,2025_1T.xlsx,,
1026,Cantabria,92,82,0,,8,2,0,2025_1T.xlsx,,
1027,Castilla y León,563,461,74,,23,3,2,2025_1T.xlsx,,
1028,Ávila,24,20,3,,1,0,0,2025_1T.xlsx,,
1029,Burgos,35,30,0,,3,2,0,2025_1T.xlsx,,
1030,León,107,94,10,,2,0,1,2025_1T.xlsx,,
1031,Palencia,32,30,1,,1,0,0,2025_1T.xlsx,,
1032,Salamanca,76,61,9,,6,0,0,2025_1T.xlsx,,
1033,Segovia,21,20,1,,0,0,0,2025_1T.xlsx,,
1034,Soria,19,18,0,,1,0,0,2025_1T.xlsx,,
1035,Valladolid,228,171,47,,8,1,1,2025_1T.xlsx,,
1036,Zamora,21,17,3,,1,0,0,2025_1T.xlsx,,
1037,Castilla-La Mancha,338,275,19,,39,3,2,2025_1T.xlsx,,
1038,Albacete,107,86,9,,11,0,1,2025_1T.xlsx,,
1039,Ciudad Real,23,4,0,,17,1,1,2025_1T.xlsx,,
1040,Cuenca,16,14,0,,2,0,0,2025_1T.xlsx,,
1041,Guadalajara,80,74,1,,4,1,0,2025_1T.xlsx,,
1042,Toledo,112,97,9,,5,1,0,2025_1T.xlsx,,
1043,Cataluña,4000,3051,499,,415,23,12,2025_1T.xlsx,,
1044,Barcelona,3187,2405,396,,356,22,8,2025_1T.xlsx,,
1045,Girona,220,198,7,,14,0,1,2025_1T.xlsx,,
1046,Lleida,241,195,30,,16,0,0,2025_1T.xlsx,,
1047,Tarragona,352,253,66,,29,1,3,2025_1T.xlsx,,
1048,Comunitat Valenciana,1855,1513,136,,199,6,1,2025_1T.xlsx,,
1049,Alicante,880,670,102,,106,1,1,2025_1T.xlsx,,
1050,Castellón,114,95,5,,14,0,0,2025_1T.xlsx,,
1051,Valencia,861,748,29,,79,5,0,2025_1T.xlsx,,
1052,Extremadura,204,161,18,,24,0,1,2025_1T.xlsx,,
1053,Badajoz,129,106,1,,21,0,1,2025_1T.xlsx,,
1054,Cáceres,75,55,17,,3,0,0,2025_1T.xlsx,,
1055,Galicia,503,438,9,,55,1,0,2025_1T.xlsx,,
1056,A Coruña,215,186,6,,22,1,0,2025_1T.xlsx,,
1057,Lugo,93,79,0,,14,0,0,2025_1T.xlsx,,
1058,Ourense,26,20,2,,4,0,0,2025_1T.xlsx,,
1059,Pontevedra,169,153,1,,15,0,0,2025_1T.xlsx,,
1060,Madrid,2736,1814,547,,354,13,8,2025_1T.xlsx,,
1061,Murcia,854,781,10,,57,1,5,2025_1T.xlsx,,
1062,Navarra,187,169,1,,17,0,0,2025_1T.xlsx,,
1063,Pais Vasco,409,291,36,,69,9,4,2025_1T.xlsx,,
1064,Araba/Álava,76,61,2,,11,1,1,2025_1T.xlsx,,
1065,Bizkaia,227,177,1,,41,7,1,2025_1T.xlsx,,
1066,Gipuzkoa,106,53,33,,17,1,2,2025_1T.xlsx,,
1067,La Rioja,54,48,1,,4,1,0,2025_1T.xlsx,,
1068,Ceuta y Melilla,12,10,0,,2,0,0,2025_1T.xlsx,,
1069,Ceuta,1,0,0,,1,0,0,2025_1T.xlsx,,
1070,Melilla,11,10,0,,1,0,0,2025_1T.xlsx,,
1071,Andalucía,1548,1215,196,,128,6,3,2025_2T.xlsx,,
1072,Almería,208,171,19,,16,2,0,2025_2T.xlsx,,
1073,Cádiz,295,243,39,,12,1,0,2025_2T.xlsx,,
1074,Córdoba,105,94,0,,11,0,0,2025_2T.xlsx,,
1075,Granada,173,140,19,,12,1,1,2025_2T.xlsx,,
1076,Huelva,58,29,25,,3,0,1,2025_2T.xlsx,,
1077,Jaén,15,11,0,,4,0,0,2025_2T.xlsx,,
1078,Málaga,223,181,5,,37,0,0,2025_2T.xlsx,,
1079,Sevilla,471,346,89,,33,2,1,2025_2T.xlsx,,
1080,Aragón,183,147,12,,23,1,0,2025_2T.xlsx,,
1081,Huesca,44,29,11,,4,0,0,2025_2T.xlsx,,
1082,Teruel,21,19,0,,2,0,0,2025_2T.xlsx,,
1083,Zaragoza,118,99,1,,17,1,0,2025_2T.xlsx,,
1084,Asturias,209,165,24,,17,1,2,2025_2T.xlsx,,
1085,"Balears, Illes",482,403,49,,30,0,0,2025_2T.xlsx,,
1086,Canarias,816,752,41,,20,2,1,2025_2T.xlsx,,
1087,Las Palmas de Gran Canaria,610,561,36,,13,0,0,2025_2T.xlsx,,
1088,Santa Cruz de Tenerife,206,191,5,,7,2,1,2025_2T.xlsx,,
1089,Cantabria,73,69,0,,4,0,0,2025_2T.xlsx,,
1090,Castilla y León,354,290,36,,25,1,2,2025_2T.xlsx,,
1091,Ávila,21,21,0,,0,0,0,2025_2T.xlsx,,
1092,Burgos,34,29,0,,5,0,0,2025_2T.xlsx,,
1093,León,80,72,4,,3,1,0,2025_2T.xlsx,,
1094,Palencia,12,10,0,,2,0,0,2025_2T.xlsx,,
1095,Salamanca,45,37,7,,0,0,1,2025_2T.xlsx,,
1096,Segovia,31,27,0,,4,0,0,2025_2T.xlsx,,
1097,Soria,10,9,0,,1,0,0,2025_2T.xlsx,,
1098,Valladolid,112,83,24,,4,0,1,2025_2T.xlsx,,
1099,Zamora,9,2,1,,6,0,0,2025_2T.xlsx,,
1100,Castilla-La Mancha,392,332,12,,43,3,2,2025_2T.xlsx,,
1101,Albacete,110,90,6,,10,2,2,2025_2T.xlsx,,
1102,Ciudad Real,11,2,0,,9,0,0,2025_2T.xlsx,,
1103,Cuenca,29,26,1,,1,1,0,2025_2T.xlsx,,
1104,Guadalajara,74,67,0,,7,0,0,2025_2T.xlsx,,
1105,Toledo,168,147,5,,16,0,0,2025_2T.xlsx,,
1106,Cataluña,2934,2227,331,,352,15,9,2025_2T.xlsx,,
1107,Barcelona,2248,1670,250,,305,14,9,2025_2T.xlsx,,
1108,Girona,247,218,10,,19,0,0,2025_2T.xlsx,,
1109,Lleida,216,176,27,,12,1,0,2025_2T.xlsx,,
1110,Tarragona,223,163,44,,16,0,0,2025_2T.xlsx,,
1111,Comunitat Valenciana,1608,1262,127,,205,8,6,2025_2T.xlsx,,
1112,Alicante,650,463,83,,97,3,4,2025_2T.xlsx,,
1113,Castellón,144,120,9,,14,1,0,2025_2T.xlsx,,
1114,Valencia,814,679,35,,94,4,2,2025_2T.xlsx,,
1115,Extremadura,166,132,19,,12,1,2,2025_2T.xlsx,,
1116,Badajoz,112,101,0,,8,1,2,2025_2T.xlsx,,
1117,Cáceres,54,31,19,,4,0,0,2025_2T.xlsx,,
1118,Galicia,545,416,41,,82,3,3,2025_2T.xlsx,,
1119,A Coruña,217,147,29,,38,2,1,2025_2T.xlsx,,
1120,Lugo,80,71,1,,8,0,0,2025_2T.xlsx,,
1121,Ourense,34,27,4,,2,0,1,2025_2T.xlsx,,
1122,Pontevedra,214,171,7,,34,1,1,2025_2T.xlsx,,
1123,Madrid,1680,1102,298,,261,14,5,2025_2T.xlsx,,
1124,Murcia,678,633,4,,39,0,2,2025_2T.xlsx,,
1125,Navarra,96,82,2,,11,0,1,2025_2T.xlsx,,
1126,Pais Vasco,326,230,19,,71,4,2,2025_2T.xlsx,,
1127,Araba/Álava,49,34,5,,10,0,0,2025_2T.xlsx,,
1128,Bizkaia,184,142,0,,38,3,1,2025_2T.xlsx,,
1129,Gipuzkoa,93,54,14,,23,1,1,2025_2T.xlsx,,
1130,La Rioja,40,26,3,,9,0,2,2025_2T.xlsx,,
1131,Ceuta y Melilla,19,17,0,,2,0,0,2025_2T.xlsx,,
1132,Ceuta,2,0,0,,2,0,0,2025_2T.xlsx,,
1133,Melilla,17,17,0,,0,0,0,2025_2T.xlsx,,
