,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
237,A Coruña,47,21.0,3.0,,21,2,0,2021_4T.xlsx,,
238,Lugo,21,13.0,0.0,,6,2,0,2021_4T.xlsx,,
239,Ourense,10,7.0,0.0,,3,0,0,2021_4T.xlsx,,
240,Pontevedra,43,29.0,5.0,,8,1,0,2021_4T.xlsx,,
241,Madrid,524,188.0,72.0,,239,18,7,2021_4T.xlsx,,
242,Murcia,57,32.0,8.0,,16,0,1,2021_4T.xlsx,,
243,Navarra,39,14.0,12.0,,12,0,1,2021_4T.xlsx,,
244,Pais Vasco,117,29.0,25.0,,55,7,1,2021_4T.xlsx,,
245,Araba/Álava,12,5.0,1.0,,6,0,0,2021_4T.xlsx,,
246,Bizkaia,75,18.0,15.0,,37,4,1,2021_4T.xlsx,,
247,Gipuzkoa,30,6.0,9.0,,12,3,0,2021_4T.xlsx,,
248,La Rioja,8,8.0,0.0,,0,0,0,2021_4T.xlsx,,
249,Ceuta y Melilla,2,1.0,0.0,,0,1,0,2021_4T.xlsx,,
250,Ceuta,1,1.0,0.0,,0,0,0,2021_4T.xlsx,,
251,Melilla,1,0.0,0.0,,0,1,0,2021_4T.xlsx,,
252,Andalucía,353,142.0,102.0,,97,7,5,2022_1T.xlsx,,
253,Almería,23,9.0,6.0,,8,0,0,2022_1T.xlsx,,
254,Cádiz,44,16.0,16.0,,9,2,1,2022_1T.xlsx,,
255,Córdoba,21,1.0,12.0,,8,0,0,2022_1T.xlsx,,
256,Granada,41,18.0,11.0,,11,1,0,2022_1T.xlsx,,
257,Huelva,16,4.0,5.0,,4,1,2,2022_1T.xlsx,,
258,Jaén,16,12.0,3.0,,1,0,0,2022_1T.xlsx,,
259,Málaga,57,30.0,2.0,,23,1,1,2022_1T.xlsx,,
260,Sevilla,135,52.0,47.0,,33,2,1,2022_1T.xlsx,,
261,Aragón,145,92.0,5.0,,46,2,0,2022_1T.xlsx,,
262,Huesca,19,15.0,0.0,,3,1,0,2022_1T.xlsx,,
263,Teruel,5,2.0,0.0,,3,0,0,2022_1T.xlsx,,
264,Zaragoza,121,75.0,5.0,,40,1,0,2022_1T.xlsx,,
265,Asturias,90,45.0,22.0,,22,1,0,2022_1T.xlsx,,
266,"Balears, Illes",83,28.0,21.0,,31,3,0,2022_1T.xlsx,,
267,Canarias,107,61.0,18.0,,27,1,0,2022_1T.xlsx,,
268,Las Palmas de Gran Canaria,56,31.0,8.0,,16,1,0,2022_1T.xlsx,,
269,Santa Cruz de Tenerife,51,30.0,10.0,,11,0,0,2022_1T.xlsx,,
270,Cantabria,36,15.0,1.0,,20,0,0,2022_1T.xlsx,,
271,Castilla y León,80,43.0,15.0,,19,0,3,2022_1T.xlsx,,
272,Ávila,7,6.0,0.0,,1,0,0,2022_1T.xlsx,,
273,Burgos,13,5.0,2.0,,5,0,1,2022_1T.xlsx,,
274,León,13,11.0,0.0,,2,0,0,2022_1T.xlsx,,
275,Palencia,1,0.0,0.0,,1,0,0,2022_1T.xlsx,,
276,Salamanca,13,11.0,0.0,,2,0,0,2022_1T.xlsx,,
277,Segovia,4,2.0,0.0,,2,0,0,2022_1T.xlsx,,
278,Soria,3,1.0,0.0,,1,0,1,2022_1T.xlsx,,
279,Valladolid,26,7.0,13.0,,5,0,1,2022_1T.xlsx,,
280,Zamora,0,0.0,0.0,,0,0,0,2022_1T.xlsx,,
281,Castilla-La Mancha,82,35.0,10.0,,31,4,2,2022_1T.xlsx,,
282,Albacete,24,9.0,5.0,,8,1,1,2022_1T.xlsx,,
283,Ciudad Real,9,4.0,0.0,,4,0,1,2022_1T.xlsx,,
284,Cuenca,8,2.0,0.0,,4,2,0,2022_1T.xlsx,,
285,Guadalajara,16,13.0,0.0,,3,0,0,2022_1T.xlsx,,
286,Toledo,25,7.0,5.0,,12,1,0,2022_1T.xlsx,,
287,Cataluña,1145,440.0,385.0,,299,15,6,2022_1T.xlsx,,
288,Barcelona,916,309.0,332.0,,257,13,5,2022_1T.xlsx,,
289,Girona,84,18.0,41.0,,25,0,0,2022_1T.xlsx,,
290,Lleida,79,62.0,2.0,,12,2,1,2022_1T.xlsx,,
291,Tarragona,66,51.0,10.0,,5,0,0,2022_1T.xlsx,,
292,Comunitat Valenciana,518,227.0,88.0,,195,4,4,2022_1T.xlsx,,
293,Alicante,157,56.0,41.0,,58,1,1,2022_1T.xlsx,,
294,Castellón,69,22.0,24.0,,21,2,0,2022_1T.xlsx,,
295,Valencia,292,149.0,23.0,,116,1,3,2022_1T.xlsx,,
296,Extremadura,14,6.0,1.0,,6,1,0,2022_1T.xlsx,,
