,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
164,Lleida,11,5,2,0,2,0,0,0,2,2021_3T.xlsx
165,Tarragona,11,5,2,1,1,1,0,0,1,2021_3T.xlsx
166,Comunitat Valenciana,146,62,24,12,10,7,1,0,30,2021_3T.xlsx
167,Alicante,44,18,8,3,3,4,0,0,8,2021_3T.xlsx
168,Castellón,20,10,2,2,1,0,0,0,5,2021_3T.xlsx
169,Valencia,82,34,14,7,6,3,1,0,17,2021_3T.xlsx
170,Extremadura,8,3,0,1,1,0,0,0,3,2021_3T.xlsx
171,Badajoz,5,3,0,1,1,0,0,0,0,2021_3T.xlsx
172,Cáceres,3,0,0,0,0,0,0,0,3,2021_3T.xlsx
173,Galicia,39,16,7,6,3,1,0,0,6,2021_3T.xlsx
174,A Coruña,15,4,3,4,2,1,0,0,1,2021_3T.xlsx
175,Lugo,7,6,1,0,0,0,0,0,0,2021_3T.xlsx
176,Ourense,3,1,1,1,0,0,0,0,0,2021_3T.xlsx
177,Pontevedra,14,5,2,1,1,0,0,0,5,2021_3T.xlsx
178,Madrid,205,94,29,21,9,7,0,0,45,2021_3T.xlsx
179,Murcia,16,10,1,3,1,1,0,0,0,2021_3T.xlsx
180,Navarra,6,2,1,2,0,1,0,0,0,2021_3T.xlsx
181,Pais Vasco,51,25,9,9,1,2,1,0,4,2021_3T.xlsx
182,Araba/Álava,5,2,2,1,0,0,0,0,0,2021_3T.xlsx
183,Bizkaia,22,13,3,3,1,0,0,0,2,2021_3T.xlsx
184,Gipuzkoa,24,10,4,5,0,2,1,0,2,2021_3T.xlsx
185,La Rioja,7,4,0,0,0,0,0,0,3,2021_3T.xlsx
186,Ceuta y Melilla,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
187,Ceuta,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
188,Melilla,0,0,0,0,0,0,0,0,0,2021_3T.xlsx
189,Andalucía,116,55,11,15,5,3,0,0,27,2021_4T.xlsx
190,Almería,12,5,3,3,0,0,0,0,1,2021_4T.xlsx
191,Cádiz,24,11,1,3,0,0,0,0,9,2021_4T.xlsx
192,Córdoba,10,5,0,2,0,1,0,0,2,2021_4T.xlsx
193,Granada,9,6,0,0,1,1,0,0,1,2021_4T.xlsx
194,Huelva,5,4,0,0,0,0,0,0,1,2021_4T.xlsx
195,Jaén,8,5,0,0,1,0,0,0,2,2021_4T.xlsx
196,Málaga,17,5,4,3,1,0,0,0,4,2021_4T.xlsx
197,Sevilla,31,14,3,4,2,1,0,0,7,2021_4T.xlsx
198,Aragón,33,17,5,3,3,0,1,0,4,2021_4T.xlsx
199,Huesca,5,1,0,1,2,0,1,0,0,2021_4T.xlsx
200,Teruel,6,2,1,1,0,0,0,0,2,2021_4T.xlsx
201,Zaragoza,22,14,4,1,1,0,0,0,2,2021_4T.xlsx
202,Asturias,19,10,1,3,0,0,1,0,4,2021_4T.xlsx
203,"Balears, Illes",16,4,3,3,1,1,0,0,4,2021_4T.xlsx
204,Canarias,27,11,3,2,1,1,0,0,9,2021_4T.xlsx
205,Las Palmas de Gran Canaria,17,5,2,1,1,0,0,0,8,2021_4T.xlsx
206,Santa Cruz de Tenerife,10,6,1,1,0,1,0,0,1,2021_4T.xlsx
207,Cantabria,11,4,2,4,0,0,0,0,1,2021_4T.xlsx
208,Castilla y León,26,14,5,1,3,0,0,0,3,2021_4T.xlsx
209,Ávila,2,1,1,0,0,0,0,0,0,2021_4T.xlsx
210,Burgos,5,2,1,0,1,0,0,0,1,2021_4T.xlsx
211,León,5,2,1,0,1,0,0,0,1,2021_4T.xlsx
212,Palencia,2,0,1,0,1,0,0,0,0,2021_4T.xlsx
213,Salamanca,2,1,0,0,0,0,0,0,1,2021_4T.xlsx
214,Segovia,1,0,0,1,0,0,0,0,0,2021_4T.xlsx
215,Soria,2,1,1,0,0,0,0,0,0,2021_4T.xlsx
216,Valladolid,7,7,0,0,0,0,0,0,0,2021_4T.xlsx
217,Zamora,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
218,Castilla-La Mancha,32,15,2,1,2,2,0,0,10,2021_4T.xlsx
219,Albacete,8,3,0,1,1,1,0,0,2,2021_4T.xlsx
220,Ciudad Real,6,3,1,0,1,1,0,0,0,2021_4T.xlsx
221,Cuenca,2,1,0,0,0,0,0,0,1,2021_4T.xlsx
222,Guadalajara,3,2,0,0,0,0,0,0,1,2021_4T.xlsx
223,Toledo,13,6,1,0,0,0,0,0,6,2021_4T.xlsx
224,Cataluña,278,128,34,31,9,9,2,0,65,2021_4T.xlsx
225,Barcelona,242,109,30,24,8,8,2,0,61,2021_4T.xlsx
226,Girona,16,7,3,4,1,1,0,0,0,2021_4T.xlsx
227,Lleida,8,6,0,1,0,0,0,0,1,2021_4T.xlsx
228,Tarragona,12,6,1,2,0,0,0,0,3,2021_4T.xlsx
229,Comunitat Valenciana,175,84,20,17,7,5,4,0,38,2021_4T.xlsx
230,Alicante,53,18,9,6,3,1,3,0,13,2021_4T.xlsx
231,Castellón,27,18,0,3,1,1,0,0,4,2021_4T.xlsx
232,Valencia,95,48,11,8,3,3,1,0,21,2021_4T.xlsx
233,Extremadura,16,5,1,0,3,1,0,0,6,2021_4T.xlsx
234,Badajoz,10,2,1,0,2,0,0,0,5,2021_4T.xlsx
235,Cáceres,6,3,0,0,1,1,0,0,1,2021_4T.xlsx
236,Galicia,43,24,3,8,2,1,0,0,5,2021_4T.xlsx
237,A Coruña,23,14,3,3,0,0,0,0,3,2021_4T.xlsx
238,Lugo,8,5,0,2,0,0,0,0,1,2021_4T.xlsx
239,Ourense,3,1,0,1,0,0,0,0,1,2021_4T.xlsx
240,Pontevedra,9,4,0,2,2,1,0,0,0,2021_4T.xlsx
241,Madrid,264,129,36,27,9,6,1,1,55,2021_4T.xlsx
242,Murcia,17,7,2,2,1,2,0,0,3,2021_4T.xlsx
243,Navarra,13,7,2,0,0,2,0,0,2,2021_4T.xlsx
244,Pais Vasco,63,29,11,12,4,1,1,0,5,2021_4T.xlsx
245,Araba/Álava,6,2,0,2,2,0,0,0,0,2021_4T.xlsx
246,Bizkaia,42,23,5,7,2,0,1,0,4,2021_4T.xlsx
247,Gipuzkoa,15,4,6,3,0,1,0,0,1,2021_4T.xlsx
248,La Rioja,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
249,Ceuta y Melilla,1,1,0,0,0,0,0,0,0,2021_4T.xlsx
250,Ceuta,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
251,Melilla,1,1,0,0,0,0,0,0,0,2021_4T.xlsx
252,Andalucía,109,54,14,5,3,5,1,1,26,2022_1T.xlsx
253,Almería,8,5,1,0,0,1,0,0,1,2022_1T.xlsx
254,Cádiz,12,7,0,1,0,1,0,0,3,2022_1T.xlsx
255,Córdoba,8,5,1,1,0,0,0,0,1,2022_1T.xlsx
256,Granada,12,4,0,1,1,1,1,1,3,2022_1T.xlsx
257,Huelva,7,2,1,0,0,1,0,0,3,2022_1T.xlsx
