,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
123,,Ceuta y Melilla,1,1,0,0,,1,0,0,2021_1T.xlsx
124,fisica,Andalucía,200,27,0,173,,179,3,18,2021_2T.xlsx
125,fisica,Almería,21,0,0,21,,20,0,1,2021_2T.xlsx
126,fisica,Cádiz,8,0,0,8,,7,0,1,2021_2T.xlsx
127,fisica,Córdoba,15,0,0,15,,11,0,4,2021_2T.xlsx
128,fisica,Granada,22,5,0,17,,18,3,1,2021_2T.xlsx
129,fisica,Huelva,12,0,0,12,,12,0,0,2021_2T.xlsx
130,fisica,Jaén,9,4,0,5,,8,0,1,2021_2T.xlsx
131,fisica,Málaga,39,4,0,35,,36,0,3,2021_2T.xlsx
132,fisica,Sevilla,74,14,0,60,,67,0,7,2021_2T.xlsx
133,fisica,Aragón,79,5,1,73,,52,0,27,2021_2T.xlsx
134,fisica,Huesca,2,1,0,1,,1,0,1,2021_2T.xlsx
135,fisica,Teruel,6,1,0,5,,5,0,1,2021_2T.xlsx
136,fisica,Zaragoza,71,3,1,67,,46,0,25,2021_2T.xlsx
137,fisica,Asturias,68,26,4,38,,46,0,22,2021_2T.xlsx
138,fisica,"Balears, Illes",41,23,0,18,,41,0,0,2021_2T.xlsx
139,fisica,Canarias,77,16,0,61,,63,1,13,2021_2T.xlsx
140,fisica,Las Palmas de Gran Canaria,49,7,0,42,,37,0,12,2021_2T.xlsx
141,fisica,Santa Cruz de Tenerife,28,9,0,19,,26,1,1,2021_2T.xlsx
142,fisica,Cantabria,6,6,0,0,,6,0,0,2021_2T.xlsx
143,fisica,Castilla y León,71,24,0,47,,58,0,13,2021_2T.xlsx
144,fisica,Ávila,3,2,0,1,,3,0,0,2021_2T.xlsx
145,fisica,Burgos,6,3,0,3,,6,0,0,2021_2T.xlsx
146,fisica,León,16,5,0,11,,15,0,1,2021_2T.xlsx
147,fisica,Palencia,0,0,0,0,,0,0,0,2021_2T.xlsx
148,fisica,Salamanca,11,3,0,8,,6,0,5,2021_2T.xlsx
149,fisica,Segovia,2,1,0,1,,2,0,0,2021_2T.xlsx
150,fisica,Soria,5,0,0,5,,5,0,0,2021_2T.xlsx
151,fisica,Valladolid,22,10,0,12,,18,0,4,2021_2T.xlsx
152,fisica,Zamora,6,0,0,6,,3,0,3,2021_2T.xlsx
153,fisica,Castilla-La Mancha,57,16,0,41,,32,0,25,2021_2T.xlsx
154,fisica,Albacete,13,1,0,12,,7,0,6,2021_2T.xlsx
155,fisica,Ciudad Real,4,3,0,1,,1,0,3,2021_2T.xlsx
156,fisica,Cuenca,0,0,0,0,,0,0,0,2021_2T.xlsx
157,fisica,Guadalajara,20,7,0,13,,6,0,14,2021_2T.xlsx
158,fisica,Toledo,20,5,0,15,,18,0,2,2021_2T.xlsx
159,fisica,Cataluña,712,50,0,662,,689,1,22,2021_2T.xlsx
160,fisica,Barcelona,558,37,0,521,,543,0,15,2021_2T.xlsx
161,fisica,Girona,48,5,0,43,,47,0,1,2021_2T.xlsx
162,fisica,Lleida,46,6,0,40,,44,1,1,2021_2T.xlsx
163,fisica,Tarragona,60,2,0,58,,55,0,5,2021_2T.xlsx
164,fisica,Comunitat Valenciana,262,112,1,149,,244,4,14,2021_2T.xlsx
165,fisica,Alicante,84,37,0,47,,78,0,6,2021_2T.xlsx
166,fisica,Castellón,23,10,0,13,,21,2,0,2021_2T.xlsx
167,fisica,Valencia,155,65,1,89,,145,2,8,2021_2T.xlsx
168,fisica,Extremadura,14,7,0,7,,14,0,0,2021_2T.xlsx
169,fisica,Badajoz,8,5,0,3,,8,0,0,2021_2T.xlsx
170,fisica,Cáceres,6,2,0,4,,6,0,0,2021_2T.xlsx
171,fisica,Galicia,95,43,1,51,,81,0,14,2021_2T.xlsx
172,fisica,A Coruña,32,15,1,16,,23,0,9,2021_2T.xlsx
173,fisica,Lugo,17,8,0,9,,17,0,0,2021_2T.xlsx
174,fisica,Ourense,10,7,0,3,,10,0,0,2021_2T.xlsx
175,fisica,Pontevedra,36,13,0,23,,31,0,5,2021_2T.xlsx
176,fisica,Madrid,252,25,1,226,,212,2,38,2021_2T.xlsx
177,fisica,Murcia,61,21,0,40,,55,0,6,2021_2T.xlsx
178,fisica,Navarra,14,12,0,2,,13,0,1,2021_2T.xlsx
179,fisica,Pais Vasco,44,31,0,13,,38,0,6,2021_2T.xlsx
180,fisica,Araba/Álava,9,9,0,0,,9,0,0,2021_2T.xlsx
181,fisica,Bizkaia,23,15,0,8,,19,0,4,2021_2T.xlsx
182,fisica,Gipuzkoa,12,7,0,5,,10,0,2,2021_2T.xlsx
183,fisica,La Rioja,11,1,0,10,,3,0,8,2021_2T.xlsx
184,fisica,Ceuta y Melilla,4,1,0,3,,3,0,1,2021_2T.xlsx
185,fisica,Ceuta,4,1,0,3,,3,0,1,2021_2T.xlsx
186,fisica,Melilla,0,0,0,0,,0,0,0,2021_2T.xlsx
187,empresas,Andalucía,103,99,3,1,,49,22,32,2021_2T.xlsx
188,empresas,Almería,10,10,0,0,,1,7,2,2021_2T.xlsx
189,empresas,Cádiz,11,11,0,0,,5,1,5,2021_2T.xlsx
190,empresas,Córdoba,5,4,0,1,,1,1,3,2021_2T.xlsx
191,empresas,Granada,13,11,2,0,,8,2,3,2021_2T.xlsx
192,empresas,Huelva,8,8,0,0,,3,0,5,2021_2T.xlsx
193,empresas,Jaén,2,2,0,0,,1,0,1,2021_2T.xlsx
194,empresas,Málaga,22,21,1,0,,8,10,4,2021_2T.xlsx
195,empresas,Sevilla,32,32,0,0,,22,1,9,2021_2T.xlsx
196,empresas,Aragón,38,37,0,1,,15,4,19,2021_2T.xlsx
197,empresas,Huesca,7,7,0,0,,5,0,2,2021_2T.xlsx
198,empresas,Teruel,5,4,0,1,,3,1,1,2021_2T.xlsx
199,empresas,Zaragoza,26,26,0,0,,7,3,16,2021_2T.xlsx
200,empresas,Asturias,25,25,0,0,,7,2,16,2021_2T.xlsx
201,empresas,"Balears, Illes",30,30,0,0,,20,1,9,2021_2T.xlsx
202,empresas,Canarias,31,31,0,0,,18,0,13,2021_2T.xlsx
203,empresas,Las Palmas de Gran Canaria,17,17,0,0,,9,0,8,2021_2T.xlsx
204,empresas,Santa Cruz de Tenerife,14,14,0,0,,9,0,5,2021_2T.xlsx
205,empresas,Cantabria,10,10,0,0,,2,0,8,2021_2T.xlsx
206,empresas,Castilla y León,39,38,0,1,,19,3,17,2021_2T.xlsx
207,empresas,Ávila,2,2,0,0,,1,0,1,2021_2T.xlsx
208,empresas,Burgos,9,9,0,0,,7,0,2,2021_2T.xlsx
209,empresas,León,3,2,0,1,,2,0,1,2021_2T.xlsx
210,empresas,Palencia,4,4,0,0,,4,0,0,2021_2T.xlsx
211,empresas,Salamanca,4,4,0,0,,0,1,3,2021_2T.xlsx
212,empresas,Segovia,1,1,0,0,,0,0,1,2021_2T.xlsx
213,empresas,Soria,2,2,0,0,,2,0,0,2021_2T.xlsx
214,empresas,Valladolid,10,10,0,0,,2,2,6,2021_2T.xlsx
215,empresas,Zamora,4,4,0,0,,1,0,3,2021_2T.xlsx
216,empresas,Castilla-La Mancha,31,28,1,2,,12,1,18,2021_2T.xlsx
217,empresas,Albacete,8,8,0,0,,2,0,6,2021_2T.xlsx
218,empresas,Ciudad Real,4,3,1,0,,1,0,3,2021_2T.xlsx
219,empresas,Cuenca,3,3,0,0,,1,0,2,2021_2T.xlsx
220,empresas,Guadalajara,4,4,0,0,,1,0,3,2021_2T.xlsx
221,empresas,Toledo,12,10,0,2,,7,1,4,2021_2T.xlsx
222,empresas,Cataluña,331,323,5,3,,120,7,204,2021_2T.xlsx
223,empresas,Barcelona,274,267,4,3,,88,4,182,2021_2T.xlsx
224,empresas,Girona,22,22,0,0,,12,3,7,2021_2T.xlsx
225,empresas,Lleida,9,9,0,0,,5,0,4,2021_2T.xlsx
226,empresas,Tarragona,26,25,1,0,,15,0,11,2021_2T.xlsx
227,empresas,Comunitat Valenciana,176,173,1,2,,41,25,110,2021_2T.xlsx
228,empresas,Alicante,54,54,0,0,,11,15,28,2021_2T.xlsx
229,empresas,Castellón,11,11,0,0,,8,0,3,2021_2T.xlsx
230,empresas,Valencia,111,108,1,2,,22,10,79,2021_2T.xlsx
231,empresas,Extremadura,13,13,0,0,,9,0,4,2021_2T.xlsx
232,empresas,Badajoz,9,9,0,0,,7,0,2,2021_2T.xlsx
233,empresas,Cáceres,4,4,0,0,,2,0,2,2021_2T.xlsx
234,empresas,Galicia,48,46,2,0,,37,0,11,2021_2T.xlsx
235,empresas,A Coruña,17,17,0,0,,11,0,6,2021_2T.xlsx
236,empresas,Lugo,6,6,0,0,,6,0,0,2021_2T.xlsx
237,empresas,Ourense,4,4,0,0,,3,0,1,2021_2T.xlsx
