,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
122,La Rioja,5,2,0,0,1,0,0,0,0,2,2021_2T.xlsx
123,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
124,Ceuta,0,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
125,Melilla,0,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
126,Andalucía,75,15,13,10,8,7,2,2,1,17,2021_3T.xlsx
127,Almería,10,1,4,0,1,1,0,0,0,3,2021_3T.xlsx
128,Cádiz,6,0,0,0,0,0,0,0,0,6,2021_3T.xlsx
129,Córdoba,6,1,2,1,0,1,0,0,1,0,2021_3T.xlsx
130,Granada,5,1,0,2,0,1,0,0,0,1,2021_3T.xlsx
131,Huelva,4,2,0,0,1,0,0,0,0,1,2021_3T.xlsx
132,Jaén,3,0,0,0,2,0,1,0,0,0,2021_3T.xlsx
133,Málaga,19,4,4,3,2,2,1,0,0,3,2021_3T.xlsx
134,Sevilla,22,6,3,4,2,2,0,2,0,3,2021_3T.xlsx
135,Aragón,28,4,2,8,6,0,2,1,0,5,2021_3T.xlsx
136,Huesca,1,0,0,1,0,0,0,0,0,0,2021_3T.xlsx
137,Teruel,1,0,0,1,0,0,0,0,0,0,2021_3T.xlsx
138,Zaragoza,26,4,2,6,6,0,2,1,0,5,2021_3T.xlsx
139,Asturias,10,0,2,2,0,3,0,0,0,3,2021_3T.xlsx
140,"Balears, Illes",21,5,4,1,1,0,1,0,0,9,2021_3T.xlsx
141,Canarias,29,7,5,3,1,0,2,1,1,9,2021_3T.xlsx
142,Las Palmas de Gran Canaria,20,4,3,3,1,0,0,1,1,7,2021_3T.xlsx
143,Santa Cruz de Tenerife,9,3,2,0,0,0,2,0,0,2,2021_3T.xlsx
144,Cantabria,4,0,2,1,0,0,0,0,0,1,2021_3T.xlsx
