,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
700,Málaga,25,7,3,0,3,4,3,0,1,4,2023_4T.xlsx
701,Sevilla,52,12,4,9,4,6,4,0,2,11,2023_4T.xlsx
702,Aragón,26,5,3,6,1,4,1,1,0,5,2023_4T.xlsx
703,Huesca,8,1,0,2,0,2,0,0,0,3,2023_4T.xlsx
704,Teruel,2,0,0,1,1,0,0,0,0,0,2023_4T.xlsx
705,Zaragoza,16,4,3,3,0,2,1,1,0,2,2023_4T.xlsx
706,Asturias,22,1,7,5,0,4,1,0,0,4,2023_4T.xlsx
707,"Balears, Illes",27,6,4,4,3,4,0,1,0,5,2023_4T.xlsx
708,Canarias,34,6,5,3,2,4,4,0,0,10,2023_4T.xlsx
709,Las Palmas de Gran Canaria,22,5,3,2,1,2,2,0,0,7,2023_4T.xlsx
710,Santa Cruz de Tenerife,12,1,2,1,1,2,2,0,0,3,2023_4T.xlsx
711,Cantabria,11,3,0,1,0,0,0,0,1,6,2023_4T.xlsx
712,Castilla y León,43,9,9,6,3,5,2,0,1,8,2023_4T.xlsx
713,Ávila,1,1,0,0,0,0,0,0,0,0,2023_4T.xlsx
714,Burgos,12,4,0,0,0,3,1,0,0,4,2023_4T.xlsx
715,León,7,1,1,0,2,1,0,0,1,1,2023_4T.xlsx
716,Palencia,0,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
717,Salamanca,9,3,3,1,1,0,0,0,0,1,2023_4T.xlsx
718,Segovia,0,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
719,Soria,1,0,0,0,0,0,0,0,0,1,2023_4T.xlsx
720,Valladolid,13,0,5,5,0,1,1,0,0,1,2023_4T.xlsx
721,Zamora,0,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
722,Castilla-La Mancha,55,9,9,6,10,6,8,1,0,6,2023_4T.xlsx
723,Albacete,20,3,4,3,1,3,2,1,0,3,2023_4T.xlsx
724,Ciudad Real,12,4,1,2,2,1,2,0,0,0,2023_4T.xlsx
725,Cuenca,3,0,1,0,1,0,0,0,0,1,2023_4T.xlsx
726,Guadalajara,4,0,1,0,3,0,0,0,0,0,2023_4T.xlsx
727,Toledo,16,2,2,1,3,2,4,0,0,2,2023_4T.xlsx
728,Cataluña,384,64,64,73,37,29,17,4,1,95,2023_4T.xlsx
729,Barcelona,320,58,57,60,28,21,14,3,1,78,2023_4T.xlsx
730,Girona,19,3,2,3,2,4,1,1,0,3,2023_4T.xlsx
731,Lleida,16,1,1,3,4,2,1,0,0,4,2023_4T.xlsx
732,Tarragona,29,2,4,7,3,2,1,0,0,10,2023_4T.xlsx
733,Comunitat Valenciana,207,26,43,33,29,22,13,6,2,33,2023_4T.xlsx
734,Alicante,82,14,14,11,12,8,7,1,1,14,2023_4T.xlsx
735,Castellón,10,0,0,3,1,3,0,2,0,1,2023_4T.xlsx
736,Valencia,115,12,29,19,16,11,6,3,1,18,2023_4T.xlsx
737,Extremadura,15,1,1,1,1,4,2,1,0,4,2023_4T.xlsx
738,Badajoz,13,1,1,1,1,4,2,0,0,3,2023_4T.xlsx
739,Cáceres,2,0,0,0,0,0,0,1,0,1,2023_4T.xlsx
740,Galicia,79,10,10,16,12,14,6,0,0,11,2023_4T.xlsx
741,A Coruña,30,4,6,4,4,5,3,0,0,4,2023_4T.xlsx
742,Lugo,13,1,0,2,3,2,3,0,0,2,2023_4T.xlsx
743,Ourense,2,0,1,0,0,1,0,0,0,0,2023_4T.xlsx
744,Pontevedra,34,5,3,10,5,6,0,0,0,5,2023_4T.xlsx
745,Madrid,286,57,49,31,31,25,14,2,3,74,2023_4T.xlsx
746,Murcia,54,7,8,9,4,12,3,2,1,8,2023_4T.xlsx
747,Navarra,12,1,5,2,0,2,1,0,0,1,2023_4T.xlsx
748,Pais Vasco,57,8,13,14,6,4,1,0,0,11,2023_4T.xlsx
749,Araba/Álava,4,1,1,1,1,0,0,0,0,0,2023_4T.xlsx
750,Bizkaia,38,5,7,10,4,4,0,0,0,8,2023_4T.xlsx
751,Gipuzkoa,15,2,5,3,1,0,1,0,0,3,2023_4T.xlsx
752,La Rioja,8,1,1,0,2,2,0,0,0,2,2023_4T.xlsx
753,Ceuta y Melilla,1,1,0,0,0,0,0,0,0,0,2023_4T.xlsx
754,Ceuta,1,1,0,0,0,0,0,0,0,0,2023_4T.xlsx
755,Melilla,0,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
756,Andalucía,130,26,13,19,9,6,8,6,1,42,2024_1T.xlsx
757,Almería,10,4,2,1,0,0,0,0,0,3,2024_1T.xlsx
758,Cádiz,9,0,0,1,3,0,1,0,0,4,2024_1T.xlsx
759,Córdoba,15,3,1,0,1,1,1,0,0,8,2024_1T.xlsx
760,Granada,15,2,0,4,1,2,1,2,0,3,2024_1T.xlsx
761,Huelva,7,0,0,0,0,0,0,2,0,5,2024_1T.xlsx
762,Jaén,6,3,1,0,1,0,1,0,0,0,2024_1T.xlsx
763,Málaga,33,6,7,8,1,1,3,2,0,5,2024_1T.xlsx
764,Sevilla,35,8,2,5,2,2,1,0,1,14,2024_1T.xlsx
765,Aragón,33,5,7,6,5,2,0,1,0,7,2024_1T.xlsx
766,Huesca,3,0,1,1,0,0,0,0,0,1,2024_1T.xlsx
767,Teruel,2,1,1,0,0,0,0,0,0,0,2024_1T.xlsx
768,Zaragoza,28,4,5,5,5,2,0,1,0,6,2024_1T.xlsx
769,Asturias,27,5,1,4,2,1,2,0,0,12,2024_1T.xlsx
770,"Balears, Illes",18,3,5,1,1,1,0,0,0,7,2024_1T.xlsx
771,Canarias,27,5,1,4,3,1,3,0,1,9,2024_1T.xlsx
772,Las Palmas de Gran Canaria,14,4,0,2,1,1,3,0,0,3,2024_1T.xlsx
773,Santa Cruz de Tenerife,13,1,1,2,2,0,0,0,1,6,2024_1T.xlsx
774,Cantabria,17,2,3,2,2,1,0,0,0,7,2024_1T.xlsx
775,Castilla y León,50,7,9,8,5,3,6,0,0,12,2024_1T.xlsx
776,Ávila,0,0,0,0,0,0,0,0,0,0,2024_1T.xlsx
777,Burgos,8,1,3,1,0,1,1,0,0,1,2024_1T.xlsx
778,León,7,0,0,1,1,0,1,0,0,4,2024_1T.xlsx
779,Palencia,4,2,0,0,0,1,1,0,0,0,2024_1T.xlsx
780,Salamanca,8,2,2,0,0,1,1,0,0,2,2024_1T.xlsx
781,Segovia,4,2,0,0,0,0,0,0,0,2,2024_1T.xlsx
782,Soria,2,0,0,1,1,0,0,0,0,0,2024_1T.xlsx
783,Valladolid,16,0,4,5,2,0,2,0,0,3,2024_1T.xlsx
784,Zamora,1,0,0,0,1,0,0,0,0,0,2024_1T.xlsx
785,Castilla-La Mancha,34,5,6,3,4,4,1,0,0,11,2024_1T.xlsx
786,Albacete,12,2,4,1,2,1,0,0,0,2,2024_1T.xlsx
787,Ciudad Real,5,0,0,1,0,0,0,0,0,4,2024_1T.xlsx
788,Cuenca,5,1,0,0,1,1,1,0,0,1,2024_1T.xlsx
789,Guadalajara,3,1,0,1,0,0,0,0,0,1,2024_1T.xlsx
790,Toledo,9,1,2,0,1,2,0,0,0,3,2024_1T.xlsx
791,Cataluña,386,62,68,60,38,38,20,7,1,92,2024_1T.xlsx
792,Barcelona,337,57,56,55,32,34,16,6,1,80,2024_1T.xlsx
793,Girona,15,4,4,2,1,1,1,0,0,2,2024_1T.xlsx
794,Lleida,15,0,3,3,2,1,2,1,0,3,2024_1T.xlsx
795,Tarragona,19,1,5,0,3,2,1,0,0,7,2024_1T.xlsx
796,Comunitat Valenciana,222,34,46,23,21,25,8,3,1,61,2024_1T.xlsx
797,Alicante,85,17,13,9,10,11,2,1,0,22,2024_1T.xlsx
798,Castellón,9,1,2,0,2,0,1,0,0,3,2024_1T.xlsx
799,Valencia,128,16,31,14,9,14,5,2,1,36,2024_1T.xlsx
800,Extremadura,12,0,2,3,3,0,0,0,0,4,2024_1T.xlsx
801,Badajoz,8,0,2,2,0,0,0,0,0,4,2024_1T.xlsx
802,Cáceres,4,0,0,1,3,0,0,0,0,0,2024_1T.xlsx
803,Galicia,59,13,6,12,7,9,2,1,0,9,2024_1T.xlsx
804,A Coruña,26,3,4,6,3,3,2,0,0,5,2024_1T.xlsx
805,Lugo,4,2,0,1,0,0,0,0,0,1,2024_1T.xlsx
806,Ourense,3,2,0,0,0,0,0,1,0,0,2024_1T.xlsx
807,Pontevedra,26,6,2,5,4,6,0,0,0,3,2024_1T.xlsx
808,Madrid,354,67,48,41,19,32,22,0,2,123,2024_1T.xlsx
809,Murcia,45,6,6,6,6,5,2,1,2,11,2024_1T.xlsx
810,Navarra,16,1,2,3,2,2,1,0,0,5,2024_1T.xlsx
811,Pais Vasco,86,12,13,18,13,3,3,4,2,18,2024_1T.xlsx
812,Araba/Álava,6,0,1,1,1,1,0,0,0,2,2024_1T.xlsx
813,Bizkaia,48,9,10,9,5,2,1,1,1,10,2024_1T.xlsx
814,Gipuzkoa,32,3,2,8,7,0,2,3,1,6,2024_1T.xlsx
815,La Rioja,8,1,1,1,0,1,1,1,0,2,2024_1T.xlsx
816,Ceuta y Melilla,2,0,0,1,0,0,0,0,0,1,2024_1T.xlsx
817,Ceuta,2,0,0,1,0,0,0,0,0,1,2024_1T.xlsx
818,Melilla,0,0,0,0,0,0,0,0,0,0,2024_1T.xlsx
819,Andalucía,148,31,22,21,13,15,11,2,1,32,2024_2T.xlsx
820,Almería,8,2,0,2,1,1,1,0,0,1,2024_2T.xlsx
821,Cádiz,24,5,5,3,3,2,2,0,0,4,2024_2T.xlsx
822,Córdoba,9,0,3,0,1,2,1,0,0,2,2024_2T.xlsx
823,Granada,25,2,6,2,3,4,1,0,0,7,2024_2T.xlsx
824,Huelva,8,2,0,1,1,0,0,0,0,4,2024_2T.xlsx
825,Jaén,5,2,1,0,0,0,0,0,1,1,2024_2T.xlsx
826,Málaga,35,9,5,7,3,5,1,1,0,4,2024_2T.xlsx
827,Sevilla,34,9,2,6,1,1,5,1,0,9,2024_2T.xlsx
828,Aragón,33,9,8,5,4,3,1,0,0,3,2024_2T.xlsx
829,Huesca,5,2,1,0,0,1,0,0,0,1,2024_2T.xlsx
830,Teruel,1,0,0,0,0,0,0,0,0,1,2024_2T.xlsx
831,Zaragoza,27,7,7,5,4,2,1,0,0,1,2024_2T.xlsx
832,Asturias,36,4,9,6,2,3,2,0,0,10,2024_2T.xlsx
833,"Balears, Illes",19,5,5,2,1,1,0,0,1,4,2024_2T.xlsx
834,Canarias,30,1,0,4,3,3,5,1,0,13,2024_2T.xlsx
835,Las Palmas de Gran Canaria,19,1,0,3,1,2,4,1,0,7,2024_2T.xlsx
836,Santa Cruz de Tenerife,11,0,0,1,2,1,1,0,0,6,2024_2T.xlsx
837,Cantabria,10,2,2,1,2,0,1,0,0,2,2024_2T.xlsx
838,Castilla y León,39,6,4,5,5,6,4,1,0,8,2024_2T.xlsx
839,Ávila,0,0,0,0,0,0,0,0,0,0,2024_2T.xlsx
840,Burgos,4,0,0,0,2,1,0,0,0,1,2024_2T.xlsx
841,León,10,3,1,1,1,3,1,0,0,0,2024_2T.xlsx
842,Palencia,2,1,0,0,1,0,0,0,0,0,2024_2T.xlsx
843,Salamanca,6,0,2,1,0,0,1,1,0,1,2024_2T.xlsx
844,Segovia,3,0,1,0,0,1,0,0,0,1,2024_2T.xlsx
845,Soria,1,0,0,0,0,0,1,0,0,0,2024_2T.xlsx
846,Valladolid,11,2,0,2,0,1,1,0,0,5,2024_2T.xlsx
847,Zamora,2,0,0,1,1,0,0,0,0,0,2024_2T.xlsx
848,Castilla-La Mancha,43,11,5,2,4,2,1,1,0,17,2024_2T.xlsx
849,Albacete,20,7,3,1,4,1,0,0,0,4,2024_2T.xlsx
850,Ciudad Real,8,1,0,0,0,1,0,1,0,5,2024_2T.xlsx
851,Cuenca,1,0,0,0,0,0,0,0,0,1,2024_2T.xlsx
852,Guadalajara,3,0,1,1,0,0,0,0,0,1,2024_2T.xlsx
853,Toledo,11,3,1,0,0,0,1,0,0,6,2024_2T.xlsx
854,Cataluña,382,76,67,61,43,33,17,4,1,80,2024_2T.xlsx
855,Barcelona,325,60,59,53,34,29,17,4,1,68,2024_2T.xlsx
856,Girona,16,2,2,5,3,2,0,0,0,2,2024_2T.xlsx
857,Lleida,18,7,4,3,2,1,0,0,0,1,2024_2T.xlsx
858,Tarragona,23,7,2,0,4,1,0,0,0,9,2024_2T.xlsx
859,Comunitat Valenciana,194,25,27,35,25,26,17,4,1,34,2024_2T.xlsx
860,Alicante,91,16,14,14,11,12,8,2,0,14,2024_2T.xlsx
861,Castellón,6,0,1,2,0,0,1,0,0,2,2024_2T.xlsx
862,Valencia,97,9,12,19,14,14,8,2,1,18,2024_2T.xlsx
863,Extremadura,15,1,5,2,1,1,0,0,0,5,2024_2T.xlsx
864,Badajoz,9,1,4,1,1,0,0,0,0,2,2024_2T.xlsx
865,Cáceres,6,0,1,1,0,1,0,0,0,3,2024_2T.xlsx
866,Galicia,69,13,13,8,8,9,6,1,1,10,2024_2T.xlsx
867,A Coruña,25,9,5,0,5,1,2,0,0,3,2024_2T.xlsx
868,Lugo,12,2,3,0,1,3,1,0,0,2,2024_2T.xlsx
869,Ourense,2,0,0,0,1,1,0,0,0,0,2024_2T.xlsx
870,Pontevedra,30,2,5,8,1,4,3,1,1,5,2024_2T.xlsx
871,Madrid,317,59,40,39,32,36,18,5,3,85,2024_2T.xlsx
872,Murcia,45,7,7,7,2,4,2,1,0,15,2024_2T.xlsx
873,Navarra,12,2,2,3,1,1,1,0,0,2,2024_2T.xlsx
874,Pais Vasco,73,11,9,15,8,6,5,2,1,16,2024_2T.xlsx
875,Araba/Álava,15,2,1,3,3,1,2,0,1,2,2024_2T.xlsx
876,Bizkaia,42,6,7,7,3,3,3,2,0,11,2024_2T.xlsx
877,Gipuzkoa,16,3,1,5,2,2,0,0,0,3,2024_2T.xlsx
878,La Rioja,6,0,1,1,0,1,0,0,0,3,2024_2T.xlsx
879,Ceuta y Melilla,3,1,1,1,0,0,0,0,0,0,2024_2T.xlsx
880,Ceuta,2,0,1,1,0,0,0,0,0,0,2024_2T.xlsx
881,Melilla,1,1,0,0,0,0,0,0,0,0,2024_2T.xlsx
882,Andalucía,155,36,23,23,19,12,9,0,1,32,2024_3T.xlsx
883,Almería,8,1,0,2,0,0,2,0,1,2,2024_3T.xlsx
884,Cádiz,19,3,3,2,2,3,0,0,0,6,2024_3T.xlsx
885,Córdoba,16,2,5,3,2,2,1,0,0,1,2024_3T.xlsx
886,Granada,13,4,2,3,0,1,0,0,0,3,2024_3T.xlsx
887,Huelva,9,1,1,0,3,1,1,0,0,2,2024_3T.xlsx
888,Jaén,12,4,0,1,3,1,1,0,0,2,2024_3T.xlsx
889,Málaga,24,5,3,3,4,2,0,0,0,7,2024_3T.xlsx
890,Sevilla,54,16,9,9,5,2,4,0,0,9,2024_3T.xlsx
891,Aragón,22,2,4,0,2,7,3,0,1,3,2024_3T.xlsx
892,Huesca,3,0,2,0,0,0,1,0,0,0,2024_3T.xlsx
893,Teruel,1,1,0,0,0,0,0,0,0,0,2024_3T.xlsx
894,Zaragoza,18,1,2,0,2,7,2,0,1,3,2024_3T.xlsx
895,Asturias,27,5,6,5,3,0,0,0,1,7,2024_3T.xlsx
896,"Balears, Illes",24,5,4,1,2,1,1,0,1,9,2024_3T.xlsx
897,Canarias,25,4,3,5,1,3,2,0,0,7,2024_3T.xlsx
898,Las Palmas de Gran Canaria,15,2,2,2,1,2,1,0,0,5,2024_3T.xlsx
899,Santa Cruz de Tenerife,10,2,1,3,0,1,1,0,0,2,2024_3T.xlsx
900,Cantabria,5,0,1,0,0,1,1,0,0,2,2024_3T.xlsx
901,Castilla y León,41,6,8,6,4,5,3,1,1,7,2024_3T.xlsx
902,Ávila,0,0,0,0,0,0,0,0,0,0,2024_3T.xlsx
903,Burgos,3,0,1,1,0,0,1,0,0,0,2024_3T.xlsx
904,León,9,2,2,1,1,1,0,0,1,1,2024_3T.xlsx
905,Palencia,2,1,1,0,0,0,0,0,0,0,2024_3T.xlsx
906,Salamanca,7,0,1,1,2,0,0,1,0,2,2024_3T.xlsx
907,Segovia,3,0,0,0,0,1,0,0,0,2,2024_3T.xlsx
908,Soria,2,1,1,0,0,0,0,0,0,0,2024_3T.xlsx
909,Valladolid,15,2,2,3,1,3,2,0,0,2,2024_3T.xlsx
910,Zamora,0,0,0,0,0,0,0,0,0,0,2024_3T.xlsx
911,Castilla-La Mancha,34,5,4,5,2,2,4,0,0,12,2024_3T.xlsx
912,Albacete,15,1,4,2,1,1,0,0,0,6,2024_3T.xlsx
913,Ciudad Real,5,0,0,1,1,0,2,0,0,1,2024_3T.xlsx
914,Cuenca,1,0,0,0,0,1,0,0,0,0,2024_3T.xlsx
915,Guadalajara,7,3,0,1,0,0,1,0,0,2,2024_3T.xlsx
916,Toledo,6,1,0,1,0,0,1,0,0,3,2024_3T.xlsx
917,Cataluña,297,54,39,44,34,30,16,3,2,75,2024_3T.xlsx
918,Barcelona,254,44,36,39,28,28,14,3,0,62,2024_3T.xlsx
919,Girona,25,6,2,2,6,0,0,0,0,9,2024_3T.xlsx
920,Lleida,7,2,0,2,0,1,2,0,0,0,2024_3T.xlsx
921,Tarragona,11,2,1,1,0,1,0,0,2,4,2024_3T.xlsx
922,Comunitat Valenciana,165,22,31,22,21,15,12,3,2,37,2024_3T.xlsx
923,Alicante,43,8,5,4,7,5,3,1,0,10,2024_3T.xlsx
924,Castellón,10,3,2,2,0,0,2,0,0,1,2024_3T.xlsx
925,Valencia,112,11,24,16,14,10,7,2,2,26,2024_3T.xlsx
926,Extremadura,20,2,3,3,4,2,0,0,0,6,2024_3T.xlsx
927,Badajoz,11,1,2,3,1,2,0,0,0,2,2024_3T.xlsx
928,Cáceres,9,1,1,0,3,0,0,0,0,4,2024_3T.xlsx
929,Galicia,71,18,5,13,15,8,4,0,0,8,2024_3T.xlsx
930,A Coruña,26,5,4,4,6,2,2,0,0,3,2024_3T.xlsx
931,Lugo,9,5,0,2,2,0,0,0,0,0,2024_3T.xlsx
932,Ourense,4,0,0,1,0,1,0,0,0,2,2024_3T.xlsx
933,Pontevedra,32,8,1,6,7,5,2,0,0,3,2024_3T.xlsx
934,Madrid,183,23,40,31,11,16,13,9,6,34,2024_3T.xlsx
935,Murcia,46,10,9,5,6,2,6,0,0,8,2024_3T.xlsx
936,Navarra,7,2,0,1,1,1,1,1,0,0,2024_3T.xlsx
937,Pais Vasco,62,14,16,14,7,4,2,1,0,4,2024_3T.xlsx
938,Araba/Álava,11,3,2,3,1,1,0,0,0,1,2024_3T.xlsx
939,Bizkaia,29,3,11,6,2,3,2,0,0,2,2024_3T.xlsx
940,Gipuzkoa,22,8,3,5,4,0,0,1,0,1,2024_3T.xlsx
941,La Rioja,5,0,0,1,1,0,0,0,0,3,2024_3T.xlsx
942,Ceuta y Melilla,3,1,2,0,0,0,0,0,0,0,2024_3T.xlsx
943,Ceuta,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2024_3T.xlsx
944,Melilla,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2024_3T.xlsx
945,Andalucía,166,43,25,18,21,13,11,3,2,30,2024_4T.xlsx
946,Almería,10,3,2,1,1,2,1,0,0,0,2024_4T.xlsx
947,Cádiz,25,3,3,5,3,3,0,0,0,8,2024_4T.xlsx
948,Córdoba,12,2,2,1,5,0,2,0,0,0,2024_4T.xlsx
949,Granada,10,3,3,2,0,0,2,0,0,0,2024_4T.xlsx
950,Huelva,4,0,2,0,1,0,0,0,0,1,2024_4T.xlsx
951,Jaén,8,3,0,1,0,0,1,2,0,1,2024_4T.xlsx
952,Málaga,41,11,7,2,6,2,1,1,2,9,2024_4T.xlsx
953,Sevilla,56,18,6,6,5,6,4,0,0,11,2024_4T.xlsx
954,Aragón,24,4,5,6,1,1,1,0,0,6,2024_4T.xlsx
955,Huesca,1,1,0,0,0,0,0,0,0,0,2024_4T.xlsx
956,Teruel,4,0,1,0,1,0,1,0,0,1,2024_4T.xlsx
957,Zaragoza,19,3,4,6,0,1,0,0,0,5,2024_4T.xlsx
958,Asturias,23,1,10,4,1,1,1,0,0,5,2024_4T.xlsx
959,"Balears, Illes",9,3,2,0,1,0,0,0,0,3,2024_4T.xlsx
960,Canarias,40,7,3,4,3,7,4,2,0,10,2024_4T.xlsx
961,Las Palmas de Gran Canaria,23,6,3,2,0,3,1,2,0,6,2024_4T.xlsx
962,Santa Cruz de Tenerife,17,1,0,2,3,4,3,0,0,4,2024_4T.xlsx
963,Cantabria,12,1,1,2,1,2,1,0,0,4,2024_4T.xlsx
964,Castilla y León,21,5,4,3,0,2,0,1,2,4,2024_4T.xlsx
965,Ávila,1,1,0,0,0,0,0,0,0,0,2024_4T.xlsx
966,Burgos,2,0,1,0,0,0,0,0,0,1,2024_4T.xlsx
967,León,7,1,0,2,0,0,0,1,1,2,2024_4T.xlsx
968,Palencia,2,0,0,1,0,1,0,0,0,0,2024_4T.xlsx
969,Salamanca,2,1,0,0,0,0,0,0,1,0,2024_4T.xlsx
970,Segovia,0,0,0,0,0,0,0,0,0,0,2024_4T.xlsx
971,Soria,0,0,0,0,0,0,0,0,0,0,2024_4T.xlsx
972,Valladolid,6,2,2,0,0,1,0,0,0,1,2024_4T.xlsx
973,Zamora,1,0,1,0,0,0,0,0,0,0,2024_4T.xlsx
974,Castilla-La Mancha,34,8,5,5,3,5,3,1,0,4,2024_4T.xlsx
975,Albacete,9,2,0,3,2,2,0,0,0,0,2024_4T.xlsx
976,Ciudad Real,8,3,2,0,0,0,2,1,0,0,2024_4T.xlsx
977,Cuenca,2,0,0,1,0,0,0,0,0,1,2024_4T.xlsx
978,Guadalajara,3,0,1,0,1,0,0,0,0,1,2024_4T.xlsx
979,Toledo,12,3,2,1,0,3,1,0,0,2,2024_4T.xlsx
980,Cataluña,351,50,54,48,37,48,21,8,3,82,2024_4T.xlsx
981,Barcelona,308,46,47,41,31,46,19,7,3,68,2024_4T.xlsx
982,Girona,16,1,2,4,2,0,1,0,0,6,2024_4T.xlsx
983,Lleida,12,0,2,2,2,0,1,1,0,4,2024_4T.xlsx
984,Tarragona,15,3,3,1,2,2,0,0,0,4,2024_4T.xlsx
985,Comunitat Valenciana,149,21,30,18,13,26,8,3,0,30,2024_4T.xlsx
986,Alicante,47,8,5,8,7,7,2,1,0,9,2024_4T.xlsx
987,Castellón,11,2,2,1,0,2,1,0,0,3,2024_4T.xlsx
988,Valencia,91,11,23,9,6,17,5,2,0,18,2024_4T.xlsx
989,Extremadura,19,3,7,2,4,2,0,0,0,1,2024_4T.xlsx
990,Badajoz,10,2,4,1,1,1,0,0,0,1,2024_4T.xlsx
991,Cáceres,9,1,3,1,3,1,0,0,0,0,2024_4T.xlsx
992,Galicia,63,7,7,13,6,13,4,3,2,8,2024_4T.xlsx
993,A Coruña,32,3,6,5,2,7,2,2,1,4,2024_4T.xlsx
994,Lugo,8,2,1,2,0,1,0,0,0,2,2024_4T.xlsx
995,Ourense,2,0,0,0,1,0,1,0,0,0,2024_4T.xlsx
996,Pontevedra,21,2,0,6,3,5,1,1,1,2,2024_4T.xlsx
997,Madrid,356,71,52,47,27,34,22,5,6,92,2024_4T.xlsx
998,Murcia,46,9,4,8,9,5,2,0,0,9,2024_4T.xlsx
999,Navarra,11,4,0,1,2,1,1,0,1,1,2024_4T.xlsx
1000,Pais Vasco,68,14,13,12,6,7,5,3,1,7,2024_4T.xlsx
1001,Araba/Álava,15,5,3,1,1,0,2,2,1,0,2024_4T.xlsx
1002,Bizkaia,34,3,6,9,4,6,0,1,0,5,2024_4T.xlsx
1003,Gipuzkoa,19,6,4,2,1,1,3,0,0,2,2024_4T.xlsx
1004,La Rioja,3,1,1,1,0,0,0,0,0,0,2024_4T.xlsx
1005,Ceuta y Melilla,2,0,0,0,0,0,0,0,0,2,2024_4T.xlsx
1006,Ceuta,2,0,0,0,0,0,0,0,0,2,2024_4T.xlsx
1007,Melilla,0,0,0,0,0,0,0,0,0,0,2024_4T.xlsx
1008,Andalucía,178,33,23,16,10,18,9,0,4,65,2025_1T.xlsx
1009,Almería,17,2,4,1,1,0,1,0,0,8,2025_1T.xlsx
1010,Cádiz,18,4,4,0,1,4,0,0,0,5,2025_1T.xlsx
1011,Córdoba,6,2,0,1,0,0,1,0,0,2,2025_1T.xlsx
1012,Granada,21,5,2,3,1,0,2,0,0,8,2025_1T.xlsx
1013,Huelva,6,0,0,2,0,2,0,0,0,2,2025_1T.xlsx
1014,Jaén,5,2,1,0,0,1,0,0,0,1,2025_1T.xlsx
1015,Málaga,42,4,8,3,3,6,2,0,2,14,2025_1T.xlsx
1016,Sevilla,63,14,4,6,4,5,3,0,2,25,2025_1T.xlsx
1017,Aragón,27,4,1,3,3,2,2,1,0,11,2025_1T.xlsx
1018,Huesca,6,0,0,0,1,0,1,0,0,4,2025_1T.xlsx
1019,Teruel,1,0,0,0,0,0,0,0,0,1,2025_1T.xlsx
1020,Zaragoza,20,4,1,3,2,2,1,1,0,6,2025_1T.xlsx
1021,Asturias,31,6,3,5,2,1,2,2,0,10,2025_1T.xlsx
1022,"Balears, Illes",39,8,3,1,1,1,0,0,0,25,2025_1T.xlsx
1023,Canarias,28,4,4,2,4,2,1,0,0,11,2025_1T.xlsx
1024,Las Palmas de Gran Canaria,16,2,2,1,2,1,0,0,0,8,2025_1T.xlsx
1025,Santa Cruz de Tenerife,12,2,2,1,2,1,1,0,0,3,2025_1T.xlsx
1026,Cantabria,10,0,1,2,0,1,3,0,0,3,2025_1T.xlsx
1027,Castilla y León,28,3,10,2,2,2,4,1,0,4,2025_1T.xlsx
1028,Ávila,1,0,1,0,0,0,0,0,0,0,2025_1T.xlsx
1029,Burgos,5,2,0,0,0,0,2,0,0,1,2025_1T.xlsx
1030,León,3,0,1,0,0,1,0,0,0,1,2025_1T.xlsx
1031,Palencia,1,0,0,0,0,0,0,0,0,1,2025_1T.xlsx
1032,Salamanca,6,1,2,1,0,0,2,0,0,0,2025_1T.xlsx
1033,Segovia,0,0,0,0,0,0,0,0,0,0,2025_1T.xlsx
1034,Soria,1,0,0,0,0,1,0,0,0,0,2025_1T.xlsx
1035,Valladolid,10,0,5,1,2,0,0,1,0,1,2025_1T.xlsx
1036,Zamora,1,0,1,0,0,0,0,0,0,0,2025_1T.xlsx
1037,Castilla-La Mancha,44,5,7,8,3,3,0,0,0,18,2025_1T.xlsx
1038,Albacete,12,1,1,6,0,0,0,0,0,4,2025_1T.xlsx
1039,Ciudad Real,19,3,4,0,2,2,0,0,0,8,2025_1T.xlsx
1040,Cuenca,2,0,1,1,0,0,0,0,0,0,2025_1T.xlsx
1041,Guadalajara,5,0,0,0,1,1,0,0,0,3,2025_1T.xlsx
1042,Toledo,6,1,1,1,0,0,0,0,0,3,2025_1T.xlsx
1043,Cataluña,450,66,68,50,37,36,14,7,5,167,2025_1T.xlsx
1044,Barcelona,386,60,62,41,32,30,12,6,5,138,2025_1T.xlsx
1045,Girona,15,2,2,3,1,0,0,1,0,6,2025_1T.xlsx
1046,Lleida,16,1,0,0,1,3,1,0,0,10,2025_1T.xlsx
1047,Tarragona,33,3,4,6,3,3,1,0,0,13,2025_1T.xlsx
1048,Comunitat Valenciana,206,25,27,29,15,29,19,2,3,57,2025_1T.xlsx
1049,Alicante,108,16,10,18,11,17,14,1,1,20,2025_1T.xlsx
1050,Castellón,14,2,2,0,0,3,1,0,0,6,2025_1T.xlsx
1051,Valencia,84,7,15,11,4,9,4,1,2,31,2025_1T.xlsx
