,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
272,Ávila,1,0,0,0,1,0,0,2022_1T.xlsx
273,Burgos,6,0,1,3,0,0,2,2022_1T.xlsx
274,León,2,1,1,0,0,0,0,2022_1T.xlsx
275,Palencia,1,0,0,0,0,0,1,2022_1T.xlsx
276,Salamanca,2,1,0,0,0,0,1,2022_1T.xlsx
277,Segovia,2,1,0,1,0,0,0,2022_1T.xlsx
278,Soria,2,0,0,1,1,0,0,2022_1T.xlsx
279,Valladolid,6,2,2,0,1,0,1,2022_1T.xlsx
280,Zamora,0,0,0,0,0,0,0,2022_1T.xlsx
281,Castilla-La Mancha,37,7,9,3,3,7,8,2022_1T.xlsx
282,Albacete,10,2,4,1,0,0,3,2022_1T.xlsx
283,Ciudad Real,5,1,0,1,1,1,1,2022_1T.xlsx
284,Cuenca,6,0,0,1,1,1,3,2022_1T.xlsx
285,Guadalajara,3,1,1,0,0,1,0,2022_1T.xlsx
286,Toledo,13,3,4,0,1,4,1,2022_1T.xlsx
287,Cataluña,320,77,89,42,30,18,64,2022_1T.xlsx
288,Barcelona,275,69,80,32,23,17,54,2022_1T.xlsx
289,Girona,25,8,4,7,2,0,4,2022_1T.xlsx
290,Lleida,15,0,2,3,4,1,5,2022_1T.xlsx
291,Tarragona,5,0,3,0,1,0,1,2022_1T.xlsx
292,Comunitat Valenciana,203,46,56,20,19,13,49,2022_1T.xlsx
293,Alicante,60,13,21,5,4,3,14,2022_1T.xlsx
294,Castellón,23,2,2,4,5,3,7,2022_1T.xlsx
295,Valencia,120,31,33,11,10,7,28,2022_1T.xlsx
296,Extremadura,7,2,1,0,1,0,3,2022_1T.xlsx
297,Badajoz,4,2,0,0,0,0,2,2022_1T.xlsx
298,Cáceres,3,0,1,0,1,0,1,2022_1T.xlsx
299,Galicia,52,8,10,6,6,7,15,2022_1T.xlsx
300,A Coruña,19,3,5,3,0,3,5,2022_1T.xlsx
301,Lugo,11,1,1,1,4,1,3,2022_1T.xlsx
302,Ourense,6,0,1,1,0,1,3,2022_1T.xlsx
303,Pontevedra,16,4,3,1,2,2,4,2022_1T.xlsx
304,Madrid,325,75,95,42,30,24,59,2022_1T.xlsx
305,Murcia,38,8,12,2,1,3,12,2022_1T.xlsx
306,Navarra,7,2,0,1,1,1,2,2022_1T.xlsx
307,Pais Vasco,66,16,11,11,6,6,16,2022_1T.xlsx
308,Araba/Álava,11,5,2,1,0,0,3,2022_1T.xlsx
309,Bizkaia,41,8,6,7,4,5,11,2022_1T.xlsx
310,Gipuzkoa,14,3,3,3,2,1,2,2022_1T.xlsx
311,La Rioja,7,2,0,2,1,0,2,2022_1T.xlsx
312,Ceuta y Melilla,1,1,0,0,0,0,0,2022_1T.xlsx
313,Ceuta,0,0,0,0,0,0,0,2022_1T.xlsx
314,Melilla,1,1,0,0,0,0,0,2022_1T.xlsx
315,Andalucía,104,29,22,15,10,8,20,2022_2T.xlsx
316,Almería,14,3,7,0,1,1,2,2022_2T.xlsx
317,Cádiz,5,2,1,0,1,0,1,2022_2T.xlsx
318,Córdoba,8,1,2,0,1,1,3,2022_2T.xlsx
319,Granada,19,4,3,1,2,1,8,2022_2T.xlsx
320,Huelva,8,2,2,3,0,0,1,2022_2T.xlsx
321,Jaén,4,0,0,3,0,1,0,2022_2T.xlsx
322,Málaga,23,10,5,3,2,2,1,2022_2T.xlsx
323,Sevilla,23,7,2,5,3,2,4,2022_2T.xlsx
324,Aragón,36,10,4,5,4,1,12,2022_2T.xlsx
325,Huesca,4,1,1,0,1,0,1,2022_2T.xlsx
326,Teruel,4,2,0,0,0,0,2,2022_2T.xlsx
327,Zaragoza,28,7,3,5,3,1,9,2022_2T.xlsx
328,Asturias,24,3,6,2,1,3,9,2022_2T.xlsx
329,"Balears, Illes",23,3,7,5,4,0,4,2022_2T.xlsx
330,Canarias,37,7,10,5,2,3,10,2022_2T.xlsx
331,Las Palmas de Gran Canaria,22,4,7,1,1,2,7,2022_2T.xlsx
332,Santa Cruz de Tenerife,15,3,3,4,1,1,3,2022_2T.xlsx
333,Cantabria,8,1,5,0,1,0,1,2022_2T.xlsx
334,Castilla y León,25,3,5,4,1,2,10,2022_2T.xlsx
335,Ávila,1,0,0,0,0,0,1,2022_2T.xlsx
336,Burgos,4,1,1,0,0,0,2,2022_2T.xlsx
337,León,5,0,1,1,1,0,2,2022_2T.xlsx
338,Palencia,1,0,0,0,0,0,1,2022_2T.xlsx
339,Salamanca,3,0,0,1,0,1,1,2022_2T.xlsx
340,Segovia,1,1,0,0,0,0,0,2022_2T.xlsx
341,Soria,3,0,0,1,0,1,1,2022_2T.xlsx
342,Valladolid,5,1,2,1,0,0,1,2022_2T.xlsx
343,Zamora,2,0,1,0,0,0,1,2022_2T.xlsx
344,Castilla-La Mancha,29,5,7,2,4,2,9,2022_2T.xlsx
345,Albacete,7,3,1,0,1,0,2,2022_2T.xlsx
346,Ciudad Real,9,1,5,2,0,0,1,2022_2T.xlsx
347,Cuenca,1,0,0,0,0,1,0,2022_2T.xlsx
348,Guadalajara,2,1,0,0,1,0,0,2022_2T.xlsx
349,Toledo,10,0,1,0,2,1,6,2022_2T.xlsx
350,Cataluña,324,86,78,38,37,14,71,2022_2T.xlsx
351,Barcelona,286,79,71,32,32,14,58,2022_2T.xlsx
352,Girona,11,2,2,1,1,0,5,2022_2T.xlsx
353,Lleida,8,2,1,2,2,0,1,2022_2T.xlsx
