,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
828,Aragón,33,12,6,3,2,3,7,2024_2T.xlsx
829,Huesca,5,1,1,1,0,1,1,2024_2T.xlsx
830,Teruel,1,1,0,0,0,0,0,2024_2T.xlsx
831,Zaragoza,27,10,5,2,2,2,6,2024_2T.xlsx
832,Asturias,36,9,6,7,3,5,6,2024_2T.xlsx
833,"Balears, Illes",19,8,3,1,2,1,4,2024_2T.xlsx
834,Canarias,30,11,8,3,0,0,8,2024_2T.xlsx
835,Las Palmas de Gran Canaria,19,3,7,3,0,0,6,2024_2T.xlsx
836,Santa Cruz de Tenerife,11,8,1,0,0,0,2,2024_2T.xlsx
837,Cantabria,10,3,0,3,0,0,4,2024_2T.xlsx
838,Castilla y León,39,7,13,5,3,2,9,2024_2T.xlsx
839,Ávila,0,0,0,0,0,0,0,2024_2T.xlsx
840,Burgos,4,0,2,0,1,0,1,2024_2T.xlsx
841,León,10,1,3,0,1,2,3,2024_2T.xlsx
842,Palencia,2,1,1,0,0,0,0,2024_2T.xlsx
843,Salamanca,6,2,2,2,0,0,0,2024_2T.xlsx
844,Segovia,3,1,2,0,0,0,0,2024_2T.xlsx
845,Soria,1,0,0,0,0,0,1,2024_2T.xlsx
846,Valladolid,11,1,3,2,1,0,4,2024_2T.xlsx
847,Zamora,2,1,0,1,0,0,0,2024_2T.xlsx
848,Castilla-La Mancha,43,9,14,5,6,0,9,2024_2T.xlsx
849,Albacete,20,3,7,2,4,0,4,2024_2T.xlsx
850,Ciudad Real,8,0,3,1,0,0,4,2024_2T.xlsx
851,Cuenca,1,0,1,0,0,0,0,2024_2T.xlsx
852,Guadalajara,3,1,2,0,0,0,0,2024_2T.xlsx
853,Toledo,11,5,1,2,2,0,1,2024_2T.xlsx
854,Cataluña,382,134,82,43,30,17,76,2024_2T.xlsx
855,Barcelona,325,112,69,36,27,14,67,2024_2T.xlsx
856,Girona,16,5,2,3,2,1,3,2024_2T.xlsx
857,Lleida,18,5,5,3,1,1,3,2024_2T.xlsx
858,Tarragona,23,12,6,1,0,1,3,2024_2T.xlsx
859,Comunitat Valenciana,194,74,35,15,14,14,42,2024_2T.xlsx
860,Alicante,91,36,16,9,5,6,19,2024_2T.xlsx
861,Castellón,6,1,1,1,1,0,2,2024_2T.xlsx
862,Valencia,97,37,18,5,8,8,21,2024_2T.xlsx
863,Extremadura,15,4,5,0,0,3,3,2024_2T.xlsx
864,Badajoz,9,2,3,0,0,3,1,2024_2T.xlsx
865,Cáceres,6,2,2,0,0,0,2,2024_2T.xlsx
866,Galicia,69,28,7,8,7,1,18,2024_2T.xlsx
867,A Coruña,25,12,3,3,1,0,6,2024_2T.xlsx
868,Lugo,12,3,0,1,1,1,6,2024_2T.xlsx
869,Ourense,2,0,0,0,1,0,1,2024_2T.xlsx
870,Pontevedra,30,13,4,4,4,0,5,2024_2T.xlsx
871,Madrid,317,127,67,32,12,16,63,2024_2T.xlsx
872,Murcia,45,10,11,6,4,4,10,2024_2T.xlsx
873,Navarra,12,4,1,2,0,0,5,2024_2T.xlsx
874,Pais Vasco,73,19,14,5,3,5,27,2024_2T.xlsx
875,Araba/Álava,15,4,0,1,1,0,9,2024_2T.xlsx
876,Bizkaia,42,10,11,4,1,5,11,2024_2T.xlsx
877,Gipuzkoa,16,5,3,0,1,0,7,2024_2T.xlsx
878,La Rioja,6,3,1,0,0,1,1,2024_2T.xlsx
879,Ceuta y Melilla,3,1,0,1,0,0,1,2024_2T.xlsx
880,Ceuta,2,0,0,1,0,0,1,2024_2T.xlsx
881,Melilla,1,1,0,0,0,0,0,2024_2T.xlsx
882,Andalucía,155,48,42,24,13,3,25,2024_3T.xlsx
883,Almería,8,1,1,2,2,0,2,2024_3T.xlsx
884,Cádiz,19,8,4,1,4,0,2,2024_3T.xlsx
885,Córdoba,16,7,3,4,1,0,1,2024_3T.xlsx
886,Granada,13,3,5,1,0,0,4,2024_3T.xlsx
887,Huelva,9,3,0,3,1,1,1,2024_3T.xlsx
888,Jaén,12,2,1,6,2,0,1,2024_3T.xlsx
889,Málaga,24,8,8,4,0,2,2,2024_3T.xlsx
890,Sevilla,54,16,20,3,3,0,12,2024_3T.xlsx
891,Aragón,22,6,5,2,1,0,8,2024_3T.xlsx
892,Huesca,3,0,1,1,0,0,1,2024_3T.xlsx
893,Teruel,1,0,1,0,0,0,0,2024_3T.xlsx
894,Zaragoza,18,6,3,1,1,0,7,2024_3T.xlsx
895,Asturias,27,7,6,1,3,0,10,2024_3T.xlsx
896,"Balears, Illes",24,10,7,0,2,2,3,2024_3T.xlsx
897,Canarias,25,9,6,3,1,1,5,2024_3T.xlsx
898,Las Palmas de Gran Canaria,15,6,5,2,0,0,2,2024_3T.xlsx
899,Santa Cruz de Tenerife,10,3,1,1,1,1,3,2024_3T.xlsx
900,Cantabria,5,2,0,1,0,0,2,2024_3T.xlsx
901,Castilla y León,41,16,5,4,4,4,8,2024_3T.xlsx
902,Ávila,0,0,0,0,0,0,0,2024_3T.xlsx
903,Burgos,3,1,0,0,0,0,2,2024_3T.xlsx
904,León,9,3,1,0,1,2,2,2024_3T.xlsx
905,Palencia,2,1,0,1,0,0,0,2024_3T.xlsx
906,Salamanca,7,5,1,0,0,0,1,2024_3T.xlsx
907,Segovia,3,1,1,0,0,0,1,2024_3T.xlsx
908,Soria,2,1,1,0,0,0,0,2024_3T.xlsx
909,Valladolid,15,4,1,3,3,2,2,2024_3T.xlsx
910,Zamora,0,0,0,0,0,0,0,2024_3T.xlsx
911,Castilla-La Mancha,34,11,11,4,2,2,4,2024_3T.xlsx
912,Albacete,15,5,5,2,2,0,1,2024_3T.xlsx
913,Ciudad Real,5,2,2,0,0,1,0,2024_3T.xlsx
914,Cuenca,1,1,0,0,0,0,0,2024_3T.xlsx
915,Guadalajara,7,1,2,2,0,1,1,2024_3T.xlsx
916,Toledo,6,2,2,0,0,0,2,2024_3T.xlsx
917,Cataluña,297,104,58,32,28,12,63,2024_3T.xlsx
918,Barcelona,254,87,53,29,23,12,50,2024_3T.xlsx
919,Girona,25,12,4,0,3,0,6,2024_3T.xlsx
920,Lleida,7,0,1,2,0,0,4,2024_3T.xlsx
921,Tarragona,11,5,0,1,2,0,3,2024_3T.xlsx
922,Comunitat Valenciana,165,61,32,16,10,6,40,2024_3T.xlsx
923,Alicante,43,11,9,6,2,3,12,2024_3T.xlsx
924,Castellón,10,2,3,1,1,1,2,2024_3T.xlsx
925,Valencia,112,48,20,9,7,2,26,2024_3T.xlsx
926,Extremadura,20,4,7,2,3,0,4,2024_3T.xlsx
927,Badajoz,11,2,5,0,2,0,2,2024_3T.xlsx
928,Cáceres,9,2,2,2,1,0,2,2024_3T.xlsx
929,Galicia,71,19,12,11,6,3,20,2024_3T.xlsx
930,A Coruña,26,9,4,5,1,0,7,2024_3T.xlsx
931,Lugo,9,1,1,1,3,1,2,2024_3T.xlsx
932,Ourense,4,1,1,1,0,0,1,2024_3T.xlsx
933,Pontevedra,32,8,6,4,2,2,10,2024_3T.xlsx
934,Madrid,183,62,35,28,22,9,27,2024_3T.xlsx
935,Murcia,46,18,11,2,2,7,6,2024_3T.xlsx
936,Navarra,7,0,1,1,2,1,2,2024_3T.xlsx
937,Pais Vasco,62,17,9,7,5,8,16,2024_3T.xlsx
938,Araba/Álava,11,2,2,3,2,0,2,2024_3T.xlsx
939,Bizkaia,29,10,1,4,2,5,7,2024_3T.xlsx
940,Gipuzkoa,22,5,6,0,1,3,7,2024_3T.xlsx
941,La Rioja,5,1,1,1,0,0,2,2024_3T.xlsx
942,Ceuta y Melilla,3,2,1,0,0,0,0,2024_3T.xlsx
943,Ceuta,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2024_3T.xlsx
944,Melilla,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2024_3T.xlsx
945,Andalucía,166,70,28,17,17,7,27,2024_4T.xlsx
946,Almería,10,3,2,2,1,1,1,2024_4T.xlsx
947,Cádiz,25,7,6,0,7,0,5,2024_4T.xlsx
948,Córdoba,12,5,1,5,0,0,1,2024_4T.xlsx
949,Granada,10,1,2,0,5,1,1,2024_4T.xlsx
950,Huelva,4,2,1,0,1,0,0,2024_4T.xlsx
951,Jaén,8,3,1,0,0,0,4,2024_4T.xlsx
952,Málaga,41,18,6,5,1,3,8,2024_4T.xlsx
953,Sevilla,56,31,9,5,2,2,7,2024_4T.xlsx
954,Aragón,24,4,4,4,1,2,9,2024_4T.xlsx
955,Huesca,1,0,0,0,0,0,1,2024_4T.xlsx
956,Teruel,4,1,0,2,0,0,1,2024_4T.xlsx
957,Zaragoza,19,3,4,2,1,2,7,2024_4T.xlsx
958,Asturias,23,6,7,3,3,1,3,2024_4T.xlsx
959,"Balears, Illes",9,2,3,2,0,1,1,2024_4T.xlsx
960,Canarias,40,13,9,6,5,2,5,2024_4T.xlsx
961,Las Palmas de Gran Canaria,23,7,5,4,2,1,4,2024_4T.xlsx
962,Santa Cruz de Tenerife,17,6,4,2,3,1,1,2024_4T.xlsx
963,Cantabria,12,1,3,2,3,0,3,2024_4T.xlsx
964,Castilla y León,21,8,3,3,0,2,5,2024_4T.xlsx
965,Ávila,1,0,1,0,0,0,0,2024_4T.xlsx
966,Burgos,2,0,0,0,0,1,1,2024_4T.xlsx
967,León,7,2,1,3,0,1,0,2024_4T.xlsx
968,Palencia,2,0,0,0,0,0,2,2024_4T.xlsx
969,Salamanca,2,1,0,0,0,0,1,2024_4T.xlsx
970,Segovia,0,0,0,0,0,0,0,2024_4T.xlsx
971,Soria,0,0,0,0,0,0,0,2024_4T.xlsx
972,Valladolid,6,4,1,0,0,0,1,2024_4T.xlsx
973,Zamora,1,1,0,0,0,0,0,2024_4T.xlsx
974,Castilla-La Mancha,34,7,11,4,5,0,7,2024_4T.xlsx
975,Albacete,9,1,3,3,0,0,2,2024_4T.xlsx
976,Ciudad Real,8,1,3,0,2,0,2,2024_4T.xlsx
977,Cuenca,2,0,1,0,1,0,0,2024_4T.xlsx
978,Guadalajara,3,1,2,0,0,0,0,2024_4T.xlsx
979,Toledo,12,4,2,1,2,0,3,2024_4T.xlsx
980,Cataluña,351,143,62,25,30,17,74,2024_4T.xlsx
981,Barcelona,308,128,56,22,24,15,63,2024_4T.xlsx
982,Girona,16,5,3,2,2,2,2,2024_4T.xlsx
983,Lleida,12,2,1,1,1,0,7,2024_4T.xlsx
984,Tarragona,15,8,2,0,3,0,2,2024_4T.xlsx
985,Comunitat Valenciana,149,61,23,23,10,7,25,2024_4T.xlsx
986,Alicante,47,24,5,6,3,3,6,2024_4T.xlsx
987,Castellón,11,4,3,1,0,0,3,2024_4T.xlsx
988,Valencia,91,33,15,16,7,4,16,2024_4T.xlsx
989,Extremadura,19,8,3,1,1,1,5,2024_4T.xlsx
990,Badajoz,10,5,1,1,0,1,2,2024_4T.xlsx
991,Cáceres,9,3,2,0,1,0,3,2024_4T.xlsx
992,Galicia,63,20,15,5,4,4,15,2024_4T.xlsx
993,A Coruña,32,10,6,3,1,3,9,2024_4T.xlsx
994,Lugo,8,2,2,0,1,0,3,2024_4T.xlsx
995,Ourense,2,2,0,0,0,0,0,2024_4T.xlsx
996,Pontevedra,21,6,7,2,2,1,3,2024_4T.xlsx
997,Madrid,356,137,70,37,28,20,64,2024_4T.xlsx
998,Murcia,46,19,7,7,3,3,7,2024_4T.xlsx
999,Navarra,11,2,1,1,3,0,4,2024_4T.xlsx
1000,Pais Vasco,68,18,9,8,7,3,23,2024_4T.xlsx
1001,Araba/Álava,15,4,3,1,1,0,6,2024_4T.xlsx
1002,Bizkaia,34,11,2,5,4,2,10,2024_4T.xlsx
1003,Gipuzkoa,19,3,4,2,2,1,7,2024_4T.xlsx
1004,La Rioja,3,0,1,0,0,0,2,2024_4T.xlsx
1005,Ceuta y Melilla,2,1,0,0,0,0,1,2024_4T.xlsx
1006,Ceuta,2,1,0,0,0,0,1,2024_4T.xlsx
1007,Melilla,0,0,0,0,0,0,0,2024_4T.xlsx
1008,Andalucía,178,83,30,20,12,6,27,2025_1T.xlsx
1009,Almería,17,5,4,2,0,1,5,2025_1T.xlsx
1010,Cádiz,18,8,4,1,0,0,5,2025_1T.xlsx
1011,Córdoba,6,0,0,2,2,0,2,2025_1T.xlsx
1012,Granada,21,7,5,2,2,2,3,2025_1T.xlsx
1013,Huelva,6,3,2,1,0,0,0,2025_1T.xlsx
1014,Jaén,5,0,1,2,1,0,1,2025_1T.xlsx
1015,Málaga,42,24,12,3,0,1,2,2025_1T.xlsx
1016,Sevilla,63,36,2,7,7,2,9,2025_1T.xlsx
1017,Aragón,27,11,1,4,3,0,8,2025_1T.xlsx
1018,Huesca,6,3,0,1,0,0,2,2025_1T.xlsx
1019,Teruel,1,1,0,0,0,0,0,2025_1T.xlsx
1020,Zaragoza,20,7,1,3,3,0,6,2025_1T.xlsx
1021,Asturias,31,12,9,0,0,1,9,2025_1T.xlsx
1022,"Balears, Illes",39,7,6,1,9,8,8,2025_1T.xlsx
1023,Canarias,28,10,7,3,1,1,6,2025_1T.xlsx
1024,Las Palmas de Gran Canaria,16,5,6,2,0,1,2,2025_1T.xlsx
1025,Santa Cruz de Tenerife,12,5,1,1,1,0,4,2025_1T.xlsx
1026,Cantabria,10,4,3,0,0,0,3,2025_1T.xlsx
1027,Castilla y León,28,4,3,0,4,4,13,2025_1T.xlsx
1028,Ávila,1,0,0,0,0,0,1,2025_1T.xlsx
1029,Burgos,5,0,0,0,2,0,3,2025_1T.xlsx
1030,León,3,0,1,0,0,1,1,2025_1T.xlsx
1031,Palencia,1,0,0,0,0,0,1,2025_1T.xlsx
1032,Salamanca,6,2,0,0,0,0,4,2025_1T.xlsx
1033,Segovia,0,0,0,0,0,0,0,2025_1T.xlsx
1034,Soria,1,0,1,0,0,0,0,2025_1T.xlsx
1035,Valladolid,10,2,1,0,2,2,3,2025_1T.xlsx
1036,Zamora,1,0,0,0,0,1,0,2025_1T.xlsx
1037,Castilla-La Mancha,44,20,7,3,3,2,9,2025_1T.xlsx
1038,Albacete,12,3,5,2,0,0,2,2025_1T.xlsx
1039,Ciudad Real,19,9,1,1,3,1,4,2025_1T.xlsx
1040,Cuenca,2,2,0,0,0,0,0,2025_1T.xlsx
1041,Guadalajara,5,3,0,0,0,0,2,2025_1T.xlsx
1042,Toledo,6,3,1,0,0,1,1,2025_1T.xlsx
1043,Cataluña,450,196,89,44,30,23,68,2025_1T.xlsx
1044,Barcelona,386,169,76,38,26,21,56,2025_1T.xlsx
1045,Girona,15,5,4,3,1,0,2,2025_1T.xlsx
1046,Lleida,16,8,1,2,0,0,5,2025_1T.xlsx
1047,Tarragona,33,14,8,1,3,2,5,2025_1T.xlsx
1048,Comunitat Valenciana,206,73,40,21,12,12,48,2025_1T.xlsx
1049,Alicante,108,43,20,9,5,7,24,2025_1T.xlsx
1050,Castellón,14,2,3,1,2,0,6,2025_1T.xlsx
1051,Valencia,84,28,17,11,5,5,18,2025_1T.xlsx
1052,Extremadura,25,7,3,8,1,1,5,2025_1T.xlsx
1053,Badajoz,22,7,2,7,1,0,5,2025_1T.xlsx
1054,Cáceres,3,0,1,1,0,1,0,2025_1T.xlsx
1055,Galicia,56,18,9,5,6,6,12,2025_1T.xlsx
1056,A Coruña,23,8,4,3,2,2,4,2025_1T.xlsx
1057,Lugo,14,3,2,2,1,3,3,2025_1T.xlsx
1058,Ourense,4,1,1,0,0,0,2,2025_1T.xlsx
1059,Pontevedra,15,6,2,0,3,1,3,2025_1T.xlsx
1060,Madrid,375,168,74,38,24,8,63,2025_1T.xlsx
1061,Murcia,63,24,13,7,2,1,16,2025_1T.xlsx
1062,Navarra,17,3,1,2,2,3,6,2025_1T.xlsx
1063,Pais Vasco,82,33,8,5,10,1,25,2025_1T.xlsx
1064,Araba/Álava,13,5,1,1,1,0,5,2025_1T.xlsx
1065,Bizkaia,49,19,5,2,8,0,15,2025_1T.xlsx
1066,Gipuzkoa,20,9,2,2,1,1,5,2025_1T.xlsx
1067,La Rioja,5,3,1,0,0,0,1,2025_1T.xlsx
1068,Ceuta y Melilla,2,1,0,0,0,0,1,2025_1T.xlsx
1069,Ceuta,1,0,0,0,0,0,1,2025_1T.xlsx
1070,Melilla,1,1,0,0,0,0,0,2025_1T.xlsx
1071,Andalucía,137,55,33,17,7,8,17,2025_2T.xlsx
1072,Almería,18,8,4,0,2,1,3,2025_2T.xlsx
1073,Cádiz,13,2,5,2,2,0,2,2025_2T.xlsx
1074,Córdoba,11,6,3,1,0,0,1,2025_2T.xlsx
1075,Granada,14,5,3,1,1,0,4,2025_2T.xlsx
1076,Huelva,4,2,0,1,1,0,0,2025_2T.xlsx
1077,Jaén,4,0,2,0,0,1,1,2025_2T.xlsx
1078,Málaga,37,21,7,3,0,3,3,2025_2T.xlsx
1079,Sevilla,36,11,9,9,1,3,3,2025_2T.xlsx
1080,Aragón,24,9,4,3,2,1,5,2025_2T.xlsx
1081,Huesca,4,2,1,1,0,0,0,2025_2T.xlsx
1082,Teruel,2,1,0,1,0,0,0,2025_2T.xlsx
1083,Zaragoza,18,6,3,1,2,1,5,2025_2T.xlsx
1084,Asturias,20,8,2,2,2,1,5,2025_2T.xlsx
1085,"Balears, Illes",30,16,3,1,3,2,5,2025_2T.xlsx
1086,Canarias,23,14,2,1,0,1,5,2025_2T.xlsx
1087,Las Palmas de Gran Canaria,13,8,1,1,0,1,2,2025_2T.xlsx
1088,Santa Cruz de Tenerife,10,6,1,0,0,0,3,2025_2T.xlsx
1089,Cantabria,4,0,1,1,0,0,2,2025_2T.xlsx
1090,Castilla y León,28,9,4,3,2,1,9,2025_2T.xlsx
1091,Ávila,0,0,0,0,0,0,0,2025_2T.xlsx
1092,Burgos,5,0,0,2,1,0,2,2025_2T.xlsx
1093,León,4,0,1,0,1,0,2,2025_2T.xlsx
1094,Palencia,2,1,1,0,0,0,0,2025_2T.xlsx
1095,Salamanca,1,0,0,1,0,0,0,2025_2T.xlsx
1096,Segovia,4,1,0,0,0,0,3,2025_2T.xlsx
1097,Soria,1,1,0,0,0,0,0,2025_2T.xlsx
1098,Valladolid,5,3,1,0,0,0,1,2025_2T.xlsx
1099,Zamora,6,3,1,0,0,1,1,2025_2T.xlsx
1100,Castilla-La Mancha,48,18,7,2,2,6,13,2025_2T.xlsx
1101,Albacete,14,4,1,1,1,1,6,2025_2T.xlsx
1102,Ciudad Real,9,3,2,0,1,1,2,2025_2T.xlsx
1103,Cuenca,2,1,0,0,0,0,1,2025_2T.xlsx
1104,Guadalajara,7,4,1,0,0,1,1,2025_2T.xlsx
1105,Toledo,16,6,3,1,0,3,3,2025_2T.xlsx
1106,Cataluña,376,152,74,35,32,15,68,2025_2T.xlsx
1107,Barcelona,328,134,64,30,31,13,56,2025_2T.xlsx
1108,Girona,19,8,4,2,0,1,4,2025_2T.xlsx
1109,Lleida,13,4,4,1,0,1,3,2025_2T.xlsx
1110,Tarragona,16,6,2,2,1,0,5,2025_2T.xlsx
1111,Comunitat Valenciana,219,97,42,21,10,8,41,2025_2T.xlsx
1112,Alicante,104,47,17,12,3,5,20,2025_2T.xlsx
1113,Castellón,15,7,4,0,1,0,3,2025_2T.xlsx
1114,Valencia,100,43,21,9,6,3,18,2025_2T.xlsx
1115,Extremadura,15,6,3,1,1,0,4,2025_2T.xlsx
1116,Badajoz,11,5,2,0,1,0,3,2025_2T.xlsx
1117,Cáceres,4,1,1,1,0,0,1,2025_2T.xlsx
1118,Galicia,88,36,19,6,2,7,18,2025_2T.xlsx
1119,A Coruña,41,20,8,3,0,3,7,2025_2T.xlsx
1120,Lugo,8,2,1,1,0,3,1,2025_2T.xlsx
1121,Ourense,3,1,0,0,0,1,1,2025_2T.xlsx
1122,Pontevedra,36,13,10,2,2,0,9,2025_2T.xlsx
1123,Madrid,280,110,63,29,26,9,43,2025_2T.xlsx
1124,Murcia,41,18,8,1,4,3,7,2025_2T.xlsx
1125,Navarra,12,4,2,0,3,0,3,2025_2T.xlsx
1126,Pais Vasco,77,24,12,9,4,5,23,2025_2T.xlsx
1127,Araba/Álava,10,4,2,2,1,0,1,2025_2T.xlsx
1128,Bizkaia,42,13,4,6,2,4,13,2025_2T.xlsx
1129,Gipuzkoa,25,7,6,1,1,1,9,2025_2T.xlsx
1130,La Rioja,11,2,1,2,2,0,4,2025_2T.xlsx
1131,Ceuta y Melilla,2,0,0,0,1,0,1,2025_2T.xlsx
1132,Ceuta,2,0,0,0,1,0,1,2025_2T.xlsx
1133,Melilla,0,0,0,0,0,0,0,2025_2T.xlsx
