Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
100,empresas,Girona,22,22,0,0,,9,0,13,2021_1T.xlsx,girona,Cataluña
101,empresas,Lleida,6,6,0,0,,2,1,3,2021_1T.xlsx,lleida,Cataluña
102,empresas,Tarragona,18,17,1,0,,13,0,5,2021_1T.xlsx,tarragona,Cataluña
103,empresas,Comunitat Valenciana,227,225,0,2,,51,19,157,2021_1T.xlsx,comunitat valenciana,
104,empresas,Alicante,64,64,0,0,,16,14,34,2021_1T.xlsx,alicante,Valencia
105,empresas,Castellón,18,16,0,2,,8,3,7,2021_1T.xlsx,castellon,Valencia
106,empresas,Valencia,145,145,0,0,,27,2,116,2021_1T.xlsx,valencia,Valencia
107,empresas,Extremadura,10,10,0,0,,6,0,4,2021_1T.xlsx,extremadura,
108,empresas,Badajoz,8,8,0,0,,5,0,3,2021_1T.xlsx,badajoz,Extremadura
109,empresas,Cáceres,2,2,0,0,,1,0,1,2021_1T.xlsx,caceres,Extremadura
110,empresas,Galicia,57,57,0,0,,45,0,12,2021_1T.xlsx,galicia,
111,empresas,A Coruña,24,24,0,0,,14,0,10,2021_1T.xlsx,a coruna,Galicia
112,empresas,Lugo,12,12,0,0,,12,0,0,2021_1T.xlsx,lugo,Galicia
113,empresas,Ourense,4,4,0,0,,4,0,0,2021_1T.xlsx,ourense,Galicia
114,empresas,Pontevedra,17,17,0,0,,15,0,2,2021_1T.xlsx,pontevedra,Galicia
115,empresas,Madrid,270,258,8,4,,67,26,177,2021_1T.xlsx,madrid,Madrid
116,empresas,Murcia,20,20,0,0,,17,0,3,2021_1T.xlsx,murcia,Murcia
117,empresas,Navarra,6,6,0,0,,4,0,2,2021_1T.xlsx,navarra,Navarra
118,empresas,Pais Vasco,95,95,0,0,,30,4,61,2021_1T.xlsx,pais vasco,
119,empresas,Araba/Álava,7,7,0,0,,3,1,3,2021_1T.xlsx,araba alava,Pais Vasco
120,empresas,Bizkaia,64,64,0,0,,21,2,41,2021_1T.xlsx,bizkaia,Pais Vasco
121,empresas,Gipuzkoa,24,24,0,0,,6,1,17,2021_1T.xlsx,gipuzkoa,Pais Vasco
122,,La Rioja,5,5,0,0,,3,0,2,2021_1T.xlsx,la rioja,La Rioja
123,,Ceuta y Melilla,1,1,0,0,,1,0,0,2021_1T.xlsx,ceuta y melilla,
124,fisica,Andalucía,200,27,0,173,,179,3,18,2021_2T.xlsx,andalucia,
125,fisica,Almería,21,0,0,21,,20,0,1,2021_2T.xlsx,almeria,Andalucia
126,fisica,Cádiz,8,0,0,8,,7,0,1,2021_2T.xlsx,cadiz,Andalucia
127,fisica,Córdoba,15,0,0,15,,11,0,4,2021_2T.xlsx,cordoba,Andalucia
128,fisica,Granada,22,5,0,17,,18,3,1,2021_2T.xlsx,granada,Andalucia
129,fisica,Huelva,12,0,0,12,,12,0,0,2021_2T.xlsx,huelva,Andalucia
130,fisica,Jaén,9,4,0,5,,8,0,1,2021_2T.xlsx,jaen,Andalucia
131,fisica,Málaga,39,4,0,35,,36,0,3,2021_2T.xlsx,malaga,Andalucia
132,fisica,Sevilla,74,14,0,60,,67,0,7,2021_2T.xlsx,sevilla,Andalucia
133,fisica,Aragón,79,5,1,73,,52,0,27,2021_2T.xlsx,aragon,
134,fisica,Huesca,2,1,0,1,,1,0,1,2021_2T.xlsx,huesca,Aragon
135,fisica,Teruel,6,1,0,5,,5,0,1,2021_2T.xlsx,teruel,Aragon
136,fisica,Zaragoza,71,3,1,67,,46,0,25,2021_2T.xlsx,zaragoza,Aragon
137,fisica,Asturias,68,26,4,38,,46,0,22,2021_2T.xlsx,asturias,Asturias
